Date,Line(QAUD1M=)
28-Mar-17,-3.91
27-Mar-17,-3.95
24-Mar-17,-4.23
23-Mar-17,-4.21
22-Mar-17,-4.45
21-Mar-17,-4.45
20-Mar-17,-4.75
17-Mar-17,-4.8
16-Mar-17,-4.86
15-Mar-17,-4.75
14-Mar-17,-4.67
13-Mar-17,-4.84
10-Mar-17,-5
09-Mar-17,-4.68
08-Mar-17,-4.66
07-Mar-17,-4.95
06-Mar-17,-4.97
03-Mar-17,-4.81
02-Mar-17,-4.77
01-Mar-17,-5.12
28-Feb-17,-5.25
27-Feb-17,-5.84
24-Feb-17,-5.75
23-Feb-17,-5.15
22-Feb-17,-5.25
21-Feb-17,-5.29
20-Feb-17,-5.23
17-Feb-17,-5.17
16-Feb-17,-5.16
15-Feb-17,-5.16
14-Feb-17,-5.23
13-Feb-17,-5.32
10-Feb-17,-5.39
09-Feb-17,-5.34
08-Feb-17,-5.26
07-Feb-17,-5.19
06-Feb-17,-5.13
03-Feb-17,-5.02
02-Feb-17,-4.96
01-Feb-17,-5.11
31-Jan-17,-5.09
30-Jan-17,-5.05
27-Jan-17,-5.18
26-Jan-17,-5.19
25-Jan-17,-5.4
24-Jan-17,-5.4
23-Jan-17,-6.28
20-Jan-17,-5.74
19-Jan-17,-5.73
18-Jan-17,-5.93
17-Jan-17,-6.22
16-Jan-17,-6.37
13-Jan-17,-5.96
12-Jan-17,-5.9
11-Jan-17,-5.9
10-Jan-17,-5.96
09-Jan-17,-6.02
06-Jan-17,-5.49
05-Jan-17,-5.5
04-Jan-17,-5.48
03-Jan-17,-5.67
02-Jan-17,-5.88
30-Dec-16,-5.91
29-Dec-16,-5.52
28-Dec-16,-5.61
27-Dec-16,-5.49
26-Dec-16,-5.48
23-Dec-16,-5.48
22-Dec-16,-5.71
21-Dec-16,-5.74
20-Dec-16,-5.75
19-Dec-16,-5.87
16-Dec-16,-5.58
15-Dec-16,-5.66
14-Dec-16,-5.64
13-Dec-16,-5.55
12-Dec-16,-5.62
09-Dec-16,-5.36
08-Dec-16,-5.52
07-Dec-16,-5.56
06-Dec-16,-5.93
05-Dec-16,-6.18
02-Dec-16,-5.96
01-Dec-16,-5.84
30-Nov-16,-5.96
29-Nov-16,-6.35
28-Nov-16,-6.24
25-Nov-16,-6.06
24-Nov-16,-6.34
23-Nov-16,-6.65
22-Nov-16,-6.69
21-Nov-16,-6.23
18-Nov-16,-6.08
17-Nov-16,-6.17
16-Nov-16,-6.48
15-Nov-16,-7.02
14-Nov-16,-6.62
11-Nov-16,-6.4
10-Nov-16,-6.52
09-Nov-16,-6.32
08-Nov-16,-6.6
07-Nov-16,-6.81
04-Nov-16,-6.32
03-Nov-16,-6.32
02-Nov-16,-6.42
01-Nov-16,-6.5
31-Oct-16,-6.1
28-Oct-16,-5.98
27-Oct-16,-5.9
26-Oct-16,-6.22
25-Oct-16,-6.3
24-Oct-16,-6.5
21-Oct-16,-6.26
20-Oct-16,-6.27
19-Oct-16,-6.31
18-Oct-16,-6.48
17-Oct-16,-6.45
14-Oct-16,-6
13-Oct-16,-5.95
12-Oct-16,-5.94
11-Oct-16,-5.97
10-Oct-16,-6.21
07-Oct-16,-6.19
06-Oct-16,-6.08
05-Oct-16,-5.65
04-Oct-16,-5.77
03-Oct-16,-5.77
30-Sep-16,-5.5
29-Sep-16,-5.5
28-Sep-16,-5.85
27-Sep-16,-6.06
26-Sep-16,-5.76
23-Sep-16,-5.9
22-Sep-16,-5.87
21-Sep-16,-5.86
20-Sep-16,-6.15
19-Sep-16,-6.04
16-Sep-16,-6.05
15-Sep-16,-6.14
14-Sep-16,-6.17
13-Sep-16,-6.3
12-Sep-16,-5.86
09-Sep-16,-5.79
08-Sep-16,-5.9
07-Sep-16,-6.32
06-Sep-16,-6.36
05-Sep-16,-5.7
02-Sep-16,-5.6
01-Sep-16,-5.7
31-Aug-16,-5.47
30-Aug-16,-6.15
29-Aug-16,-5.72
26-Aug-16,-5.94
25-Aug-16,-5.98
24-Aug-16,-6.01
23-Aug-16,-6.29
22-Aug-16,-6.54
19-Aug-16,-6.44
18-Aug-16,-6.53
17-Aug-16,-6.54
16-Aug-16,-6.96
15-Aug-16,-7.18
12-Aug-16,-6.82
11-Aug-16,-6.94
10-Aug-16,-6.77
09-Aug-16,-6.91
08-Aug-16,-7.13
05-Aug-16,-6.86
04-Aug-16,-6.78
03-Aug-16,-6.87
02-Aug-16,-7.28
01-Aug-16,-8.11
29-Jul-16,-8.15
28-Jul-16,-7.65
27-Jul-16,-8.4
26-Jul-16,-8.12
25-Jul-16,-8.38
22-Jul-16,-7.89
21-Jul-16,-8.11
20-Jul-16,-8.29
19-Jul-16,-8.7
18-Jul-16,-9.19
15-Jul-16,-8.62
14-Jul-16,-8.67
13-Jul-16,-8.71
12-Jul-16,-9.05
11-Jul-16,-8.87
08-Jul-16,-8.55
07-Jul-16,-8.54
06-Jul-16,-8.45
05-Jul-16,-8.7
04-Jul-16,-8.99
01-Jul-16,-8.47
30-Jun-16,-8.5
29-Jun-16,-8.77
28-Jun-16,-7.87
27-Jun-16,-8.12
24-Jun-16,-8.3
23-Jun-16,-8.61
22-Jun-16,-8.74
21-Jun-16,-8.71
20-Jun-16,-8.48
17-Jun-16,-8.45
16-Jun-16,-8.28
15-Jun-16,-8.65
14-Jun-16,-8.68
13-Jun-16,-8.26
10-Jun-16,-8.27
09-Jun-16,-8.48
08-Jun-16,-8.95
07-Jun-16,-9.22
06-Jun-16,-8.3
03-Jun-16,-8.21
02-Jun-16,-7.94
01-Jun-16,-8.48
31-May-16,-8.71
30-May-16,-7.96
27-May-16,-7.98
