Date,Line(QBRL=)
28-Mar-17,3.1353
27-Mar-17,3.1265
24-Mar-17,3.1086
23-Mar-17,3.1396
22-Mar-17,3.088
21-Mar-17,3.0885
20-Mar-17,3.0726
17-Mar-17,3.0918
16-Mar-17,3.1185
15-Mar-17,3.1037
14-Mar-17,3.1685
13-Mar-17,3.153
10-Mar-17,3.1395
09-Mar-17,3.1932
08-Mar-17,3.1631
07-Mar-17,3.1195
06-Mar-17,3.1386
03-Mar-17,3.1158
02-Mar-17,3.1565
01-Mar-17,3.09
28-Feb-17,3.1091
27-Feb-17,3.109
24-Feb-17,3.111
23-Feb-17,3.0595
22-Feb-17,3.064
21-Feb-17,3.0951
20-Feb-17,3.087
17-Feb-17,3.1048
16-Feb-17,3.0892
15-Feb-17,3.0575
14-Feb-17,3.085
13-Feb-17,3.1115
10-Feb-17,3.1157
09-Feb-17,3.1302
08-Feb-17,3.1175
07-Feb-17,3.1205
06-Feb-17,3.116
03-Feb-17,3.1176
02-Feb-17,3.124
01-Feb-17,3.1295
31-Jan-17,3.151
30-Jan-17,3.127
27-Jan-17,3.141
26-Jan-17,3.178
25-Jan-17,3.1702
24-Jan-17,3.1702
23-Jan-17,3.1633
20-Jan-17,3.169
19-Jan-17,3.1965
18-Jan-17,3.231
17-Jan-17,3.2115
16-Jan-17,3.2418
13-Jan-17,3.2213
12-Jan-17,3.1881
11-Jan-17,3.1975
10-Jan-17,3.1961
09-Jan-17,3.1969
06-Jan-17,3.2242
05-Jan-17,3.1991
04-Jan-17,3.2163
03-Jan-17,3.2652
02-Jan-17,3.2857
30-Dec-16,3.2547
29-Dec-16,3.2547
28-Dec-16,3.2845
27-Dec-16,3.2712
26-Dec-16,3.277
23-Dec-16,3.271
22-Dec-16,3.2875
21-Dec-16,3.327
20-Dec-16,3.3547
19-Dec-16,3.365
16-Dec-16,3.392
15-Dec-16,3.3695
14-Dec-16,3.3705
13-Dec-16,3.3355
12-Dec-16,3.3388
09-Dec-16,3.3785
08-Dec-16,3.3755
07-Dec-16,3.383
06-Dec-16,3.408
05-Dec-16,3.4215
02-Dec-16,3.4755
01-Dec-16,3.4718
30-Nov-16,3.3842
29-Nov-16,3.399
28-Nov-16,3.3859
25-Nov-16,3.4223
24-Nov-16,3.3915
23-Nov-16,3.3945
22-Nov-16,3.355
21-Nov-16,3.3526
18-Nov-16,3.3835
17-Nov-16,3.4193
16-Nov-16,3.42
15-Nov-16,3.4404
14-Nov-16,3.4331
11-Nov-16,3.3915
10-Nov-16,3.3864
09-Nov-16,3.2172
08-Nov-16,3.1695
07-Nov-16,3.202
04-Nov-16,3.2337
03-Nov-16,3.2425
02-Nov-16,3.2359
01-Nov-16,3.2367
31-Oct-16,3.1893
28-Oct-16,3.2065
27-Oct-16,3.1701
26-Oct-16,3.1409
25-Oct-16,3.1151
24-Oct-16,3.1246
21-Oct-16,3.1511
20-Oct-16,3.1433
19-Oct-16,3.1697
18-Oct-16,3.1888
17-Oct-16,3.2022
14-Oct-16,3.2051
13-Oct-16,3.178
12-Oct-16,3.2025
11-Oct-16,3.1954
10-Oct-16,3.2065
07-Oct-16,3.2204
06-Oct-16,3.2298
05-Oct-16,3.2202
04-Oct-16,3.2578
03-Oct-16,3.2105
30-Sep-16,3.2603
29-Sep-16,3.2595
28-Sep-16,3.2167
27-Sep-16,3.2346
26-Sep-16,3.2401
23-Sep-16,3.245
22-Sep-16,3.2209
21-Sep-16,3.2071
20-Sep-16,3.2589
19-Sep-16,3.2731
16-Sep-16,3.2622
15-Sep-16,3.3024
14-Sep-16,3.3426
13-Sep-16,3.3139
12-Sep-16,3.2459
09-Sep-16,3.2735
08-Sep-16,3.2143
07-Sep-16,3.193
06-Sep-16,3.1953
05-Sep-16,3.2833
02-Sep-16,3.2568
01-Sep-16,3.2582
31-Aug-16,3.2273
30-Aug-16,3.2419
29-Aug-16,3.2298
26-Aug-16,3.2655
25-Aug-16,3.2367
24-Aug-16,3.2257
23-Aug-16,3.2338
22-Aug-16,3.2015
19-Aug-16,3.2038
18-Aug-16,3.2394
17-Aug-16,3.2037
16-Aug-16,3.2027
15-Aug-16,3.1862
12-Aug-16,3.1925
11-Aug-16,3.145
10-Aug-16,3.1272
09-Aug-16,3.1456
08-Aug-16,3.1749
05-Aug-16,3.166
04-Aug-16,3.1938
03-Aug-16,3.2377
02-Aug-16,3.2571
01-Aug-16,3.2649
29-Jul-16,3.2486
28-Jul-16,3.2892
27-Jul-16,3.2637
26-Jul-16,3.2769
25-Jul-16,3.286
22-Jul-16,3.2566
21-Jul-16,3.2723
20-Jul-16,3.259
19-Jul-16,3.2491
18-Jul-16,3.2532
15-Jul-16,3.2821
14-Jul-16,3.2512
13-Jul-16,3.2638
12-Jul-16,3.296
11-Jul-16,3.3094
08-Jul-16,3.3006
07-Jul-16,3.3678
06-Jul-16,3.33
05-Jul-16,3.3025
04-Jul-16,3.2696
01-Jul-16,3.2362
30-Jun-16,3.2135
29-Jun-16,3.222
28-Jun-16,3.3029
27-Jun-16,3.3926
24-Jun-16,3.3739
23-Jun-16,3.339
22-Jun-16,3.377
21-Jun-16,3.4158
20-Jun-16,3.3945
17-Jun-16,3.4163
16-Jun-16,3.4661
15-Jun-16,3.4741
14-Jun-16,3.4812
13-Jun-16,3.4827
10-Jun-16,3.4189
09-Jun-16,3.401
08-Jun-16,3.363
07-Jun-16,3.4421
06-Jun-16,3.4896
03-Jun-16,3.5241
02-Jun-16,3.5926
01-Jun-16,3.6007
31-May-16,3.6111
30-May-16,3.5713
27-May-16,3.6116
26-May-16,3.5825
25-May-16,3.5836
24-May-16,3.5713
23-May-16,3.5728
20-May-16,3.5203
19-May-16,3.5644
18-May-16,3.5683
17-May-16,3.4888
16-May-16,3.5001
13-May-16,3.534
12-May-16,3.4855
11-May-16,3.4528
10-May-16,3.4758
09-May-16,3.5164
06-May-16,3.5023
05-May-16,3.5349
04-May-16,3.5473
03-May-16,3.5599
02-May-16,3.5012
29-Apr-16,3.4358
28-Apr-16,3.4879
27-Apr-16,3.5268
26-Apr-16,3.5297
25-Apr-16,3.5558
22-Apr-16,3.5646
21-Apr-16,3.5386
20-Apr-16,3.5299
19-Apr-16,3.5341
18-Apr-16,3.6155
15-Apr-16,3.5333
14-Apr-16,3.4838
13-Apr-16,3.4984
12-Apr-16,3.4928
11-Apr-16,3.4925
08-Apr-16,3.5901
07-Apr-16,3.6905
06-Apr-16,3.6413
05-Apr-16,3.6805
04-Apr-16,3.6241
01-Apr-16,3.5538
31-Mar-16,3.5935
30-Mar-16,3.6003
29-Mar-16,3.6386
28-Mar-16,3.6279
25-Mar-16,3.6835
24-Mar-16,3.6771
23-Mar-16,3.6855
22-Mar-16,3.5812
21-Mar-16,3.6179
18-Mar-16,3.624
17-Mar-16,3.6268
16-Mar-16,3.7422
15-Mar-16,3.7656
14-Mar-16,3.6619
11-Mar-16,3.582
10-Mar-16,3.6215
09-Mar-16,3.6849
08-Mar-16,3.7556
07-Mar-16,3.783
04-Mar-16,3.7593
03-Mar-16,3.7991
02-Mar-16,3.8932
01-Mar-16,3.9275
29-Feb-16,4.0171
26-Feb-16,3.9933
25-Feb-16,3.956
24-Feb-16,3.9591
23-Feb-16,3.9569
22-Feb-16,3.9473
19-Feb-16,4.0214
18-Feb-16,4.0284
17-Feb-16,3.9851
16-Feb-16,4.0723
15-Feb-16,4.006
12-Feb-16,4.0027
11-Feb-16,3.9946
10-Feb-16,3.9285
09-Feb-16,3.8856
08-Feb-16,3.8954
05-Feb-16,3.9035
04-Feb-16,3.8897
03-Feb-16,3.8954
02-Feb-16,3.9895
01-Feb-16,3.9629
29-Jan-16,3.9988
28-Jan-16,4.0699
27-Jan-16,4.1077
26-Jan-16,4.0536
25-Jan-16,4.0903
22-Jan-16,4.0945
21-Jan-16,4.1575
20-Jan-16,4.0971
19-Jan-16,4.0626
18-Jan-16,4.0557
15-Jan-16,4.0479
14-Jan-16,3.9996
13-Jan-16,4.0158
12-Jan-16,4.029
11-Jan-16,4.0537
08-Jan-16,4.0245
07-Jan-16,4.0448
06-Jan-16,4.0244
05-Jan-16,4.0077
04-Jan-16,4.0402
01-Jan-16,3.9608
31-Dec-15,3.9608
30-Dec-15,3.9608
29-Dec-15,3.8655
28-Dec-15,3.8586
25-Dec-15,3.9463
24-Dec-15,3.953
23-Dec-15,3.9419
22-Dec-15,3.9899
21-Dec-15,4.0134
18-Dec-15,3.9824
17-Dec-15,3.8796
16-Dec-15,3.8848
15-Dec-15,3.873
14-Dec-15,3.8779
11-Dec-15,3.873
10-Dec-15,3.8126
09-Dec-15,3.7502
08-Dec-15,3.7962
07-Dec-15,3.7681
04-Dec-15,3.7521
03-Dec-15,3.7596
02-Dec-15,3.8352
01-Dec-15,3.8575
30-Nov-15,3.869
27-Nov-15,3.8464
26-Nov-15,3.7432
25-Nov-15,3.7425
24-Nov-15,3.7
23-Nov-15,3.733
20-Nov-15,3.7052
19-Nov-15,3.7181
18-Nov-15,3.7668
17-Nov-15,3.8105
16-Nov-15,3.8194
13-Nov-15,3.8456
12-Nov-15,3.771
11-Nov-15,3.7639
10-Nov-15,3.751
09-Nov-15,3.799
06-Nov-15,3.7713
05-Nov-15,3.7813
04-Nov-15,3.8004
03-Nov-15,3.7712
02-Nov-15,3.8507
30-Oct-15,3.8564
29-Oct-15,3.8509
28-Oct-15,3.9094
27-Oct-15,3.8883
