Date,Line(QCHF1M=)
28-Mar-17,-17.95
27-Mar-17,-18.81
24-Mar-17,-19.71
23-Mar-17,-20.37
22-Mar-17,-19.81
21-Mar-17,-20.37
20-Mar-17,-21.48
17-Mar-17,-20.22
16-Mar-17,-19.75
15-Mar-17,-20.68
14-Mar-17,-21.05
13-Mar-17,-20.76
10-Mar-17,-21.32
09-Mar-17,-19.3
08-Mar-17,-19.36
07-Mar-17,-19.83
06-Mar-17,-20.3
03-Mar-17,-18.52
02-Mar-17,-19.19
01-Mar-17,-19.2
28-Feb-17,-19.51
27-Feb-17,-19.93
24-Feb-17,-15.47
23-Feb-17,-13.98
22-Feb-17,-14.15
21-Feb-17,-14.01
20-Feb-17,-13.77
17-Feb-17,-13.76
16-Feb-17,-13.47
15-Feb-17,-13.35
14-Feb-17,-13.36
13-Feb-17,-13.3
10-Feb-17,-13.34
09-Feb-17,-13.34
08-Feb-17,-13.39
07-Feb-17,-13.38
06-Feb-17,-13.71
03-Feb-17,-13.55
02-Feb-17,-13.4
01-Feb-17,-13.65
31-Jan-17,-13.68
30-Jan-17,-13.82
27-Jan-17,-14.03
26-Jan-17,-14.7
25-Jan-17,-15.6
24-Jan-17,-16.37
23-Jan-17,-17.08
20-Jan-17,-16.1
19-Jan-17,-16.27
18-Jan-17,-16.76
17-Jan-17,-17.27
16-Jan-17,-17.78
13-Jan-17,-15.86
12-Jan-17,-15.95
11-Jan-17,-18.25
10-Jan-17,-16.8
09-Jan-17,-17.67
06-Jan-17,-16.81
05-Jan-17,-16.87
04-Jan-17,-17.29
03-Jan-17,-19.19
02-Jan-17,-20.79
30-Dec-16,-23.53
29-Dec-16,-19.78
28-Dec-16,-29.25
27-Dec-16,-26.9
26-Dec-16,-27.32
23-Dec-16,-27.32
22-Dec-16,-25.36
21-Dec-16,-25.65
20-Dec-16,-27.42
19-Dec-16,-27.52
16-Dec-16,-26.56
15-Dec-16,-26.55
14-Dec-16,-26.57
13-Dec-16,-26.69
12-Dec-16,-27.24
09-Dec-16,-25.13
08-Dec-16,-24.2
07-Dec-16,-24.86
06-Dec-16,-25.68
05-Dec-16,-26.45
02-Dec-16,-26.45
01-Dec-16,-25.51
30-Nov-16,-25.12
29-Nov-16,-25.47
28-Nov-16,-15.75
25-Nov-16,-15.21
24-Nov-16,-15.18
23-Nov-16,-16.67
22-Nov-16,-16.09
21-Nov-16,-14.9
18-Nov-16,-14.91
17-Nov-16,-14.5
16-Nov-16,-14.94
15-Nov-16,-15.33
14-Nov-16,-13.87
11-Nov-16,-13.58
10-Nov-16,-13.43
09-Nov-16,-13.97
08-Nov-16,-15.39
07-Nov-16,-14.26
04-Nov-16,-14.29
03-Nov-16,-13.91
02-Nov-16,-14.8
01-Nov-16,-15.25
31-Oct-16,-14.89
28-Oct-16,-14.63
27-Oct-16,-14.69
26-Oct-16,-15.1
25-Oct-16,-15.57
24-Oct-16,-15.96
21-Oct-16,-15
20-Oct-16,-15.46
19-Oct-16,-15.04
18-Oct-16,-16.11
17-Oct-16,-16.85
14-Oct-16,-14.58
13-Oct-16,-15.22
12-Oct-16,-14.7
11-Oct-16,-15.15
10-Oct-16,-15.84
07-Oct-16,-16
06-Oct-16,-16.48
05-Oct-16,-15.15
04-Oct-16,-16.8
03-Oct-16,-18.45
30-Sep-16,-17.78
29-Sep-16,-15.83
28-Sep-16,-18.58
27-Sep-16,-19.06
26-Sep-16,-17.36
23-Sep-16,-17.22
22-Sep-16,-17.44
21-Sep-16,-17.79
20-Sep-16,-18.18
19-Sep-16,-17.76
16-Sep-16,-17.67
15-Sep-16,-15.63
14-Sep-16,-16.95
13-Sep-16,-17.11
12-Sep-16,-15.68
09-Sep-16,-15.8
08-Sep-16,-16.24
07-Sep-16,-17.15
06-Sep-16,-17.93
05-Sep-16,-17.1
02-Sep-16,-17.33
01-Sep-16,-17.74
31-Aug-16,-18.86
30-Aug-16,-19.6
29-Aug-16,-15.89
26-Aug-16,-16.18
25-Aug-16,-16.04
24-Aug-16,-15.75
