Date,Line(QCHF=)
28-Mar-17,0.987
27-Mar-17,0.9857
24-Mar-17,0.9914
23-Mar-17,0.9933
22-Mar-17,0.9913
21-Mar-17,0.9938
20-Mar-17,0.9987
17-Mar-17,0.9987
16-Mar-17,0.9964
15-Mar-17,1.0003
14-Mar-17,1.0101
13-Mar-17,1.0072
10-Mar-17,1.011
09-Mar-17,1.0121
08-Mar-17,1.0147
07-Mar-17,1.0132
06-Mar-17,1.012
03-Mar-17,1.0077
02-Mar-17,1.0133
01-Mar-17,1.009
28-Feb-17,1.0058
27-Feb-17,1.0089
24-Feb-17,1.0076
23-Feb-17,1.0063
22-Feb-17,1.0104
21-Feb-17,1.0097
20-Feb-17,1.0028
17-Feb-17,1.0028
16-Feb-17,0.9971
15-Feb-17,1.0053
14-Feb-17,1.0061
13-Feb-17,1.0058
10-Feb-17,1.0025
09-Feb-17,1.0018
08-Feb-17,0.9947
07-Feb-17,0.9977
06-Feb-17,0.991
03-Feb-17,0.9926
02-Feb-17,0.9927
01-Feb-17,0.9931
31-Jan-17,0.9894
30-Jan-17,0.9952
27-Jan-17,0.9999
26-Jan-17,0.9999
25-Jan-17,0.9995
24-Jan-17,1.001
23-Jan-17,0.9965
20-Jan-17,1.0018
19-Jan-17,1.0062
18-Jan-17,1.0074
17-Jan-17,1.0016
16-Jan-17,1.0124
13-Jan-17,1.0091
12-Jan-17,1.0109
11-Jan-17,1.014
10-Jan-17,1.0169
09-Jan-17,1.0151
06-Jan-17,1.0183
05-Jan-17,1.0098
04-Jan-17,1.0206
03-Jan-17,1.0273
02-Jan-17,1.0236
30-Dec-16,1.0184
29-Dec-16,1.0229
28-Dec-16,1.0284
27-Dec-16,1.0281
26-Dec-16,1.0272
23-Dec-16,1.0267
22-Dec-16,1.0258
21-Dec-16,1.0268
20-Dec-16,1.029
19-Dec-16,1.0273
16-Dec-16,1.0261
15-Dec-16,1.03
14-Dec-16,1.0203
13-Dec-16,1.0121
12-Dec-16,1.0134
09-Dec-16,1.018
08-Dec-16,1.0164
07-Dec-16,1.0075
06-Dec-16,1.0102
05-Dec-16,1.0065
02-Dec-16,1.0115
01-Dec-16,1.0107
30-Nov-16,1.0173
