Date,Line(QCZK1M=)
28-Mar-17,-126
27-Mar-17,-109.5
24-Mar-17,-101.19
23-Mar-17,-90.5
22-Mar-17,-90.5
21-Mar-17,-118.5
20-Mar-17,-104.5
17-Mar-17,-70.9
16-Mar-17,-66.75
15-Mar-17,-70.73
14-Mar-17,-64.54
13-Mar-17,-62.48
10-Mar-17,-56.16
09-Mar-17,-47.5
08-Mar-17,-48.7
07-Mar-17,-52
06-Mar-17,-53.7
03-Mar-17,-51.3
02-Mar-17,-48.5
01-Mar-17,-47.8
28-Feb-17,-46.5
27-Feb-17,-52.1
24-Feb-17,-39.4
23-Feb-17,-37.5
22-Feb-17,-36.28
21-Feb-17,-37.9
20-Feb-17,-37.4
17-Feb-17,-37.5
16-Feb-17,-37.5
15-Feb-17,-37.5
14-Feb-17,-36.5
13-Feb-17,-35
10-Feb-17,-41.79
09-Feb-17,-35.3
08-Feb-17,-33.52
07-Feb-17,-35.8
06-Feb-17,-38.6
03-Feb-17,-42.48
02-Feb-17,-31.57
01-Feb-17,-33
31-Jan-17,-33.5
30-Jan-17,-35.49
27-Jan-17,-37.2
26-Jan-17,-35
25-Jan-17,-44.54
24-Jan-17,-41
23-Jan-17,-38.55
20-Jan-17,-39.25
19-Jan-17,-44.5
18-Jan-17,-47.55
17-Jan-17,-50.02
16-Jan-17,-52.5
13-Jan-17,-47.61
12-Jan-17,-50.16
11-Jan-17,-85
10-Jan-17,-85.5
09-Jan-17,-48.5
06-Jan-17,-41
05-Jan-17,-36.48
04-Jan-17,-36.98
03-Jan-17,-40.25
02-Jan-17,-39.25
30-Dec-16,-41.5
29-Dec-16,-40.5
28-Dec-16,-83
27-Dec-16,-94.5
26-Dec-16,-88
23-Dec-16,-94.5
22-Dec-16,-88.05
21-Dec-16,-88.05
20-Dec-16,-97.98
19-Dec-16,-100.8
16-Dec-16,-105
15-Dec-16,-106
14-Dec-16,-109.1
13-Dec-16,-111.7
12-Dec-16,-116.5
09-Dec-16,-115.6
08-Dec-16,-115.2
07-Dec-16,-122.9
06-Dec-16,-123
05-Dec-16,-123
02-Dec-16,-126.5
01-Dec-16,-126.5
30-Nov-16,-109.5
29-Nov-16,-110.1
28-Nov-16,-26.04
25-Nov-16,-26.02
24-Nov-16,-26.35
23-Nov-16,-28.25
22-Nov-16,-28.65
21-Nov-16,-26.2
18-Nov-16,-25.5
17-Nov-16,-25
16-Nov-16,-25.2
15-Nov-16,-24.75
14-Nov-16,-24.01
11-Nov-16,-24.03
10-Nov-16,-25.15
09-Nov-16,-26.61
08-Nov-16,-27.02
07-Nov-16,-26.5
04-Nov-16,-26.5
03-Nov-16,-26.5
02-Nov-16,-27
01-Nov-16,-28
31-Oct-16,-26.94
28-Oct-16,-28.13
27-Oct-16,-28.42
26-Oct-16,-30.63
25-Oct-16,-33.51
24-Oct-16,-34.01
21-Oct-16,-31.82
20-Oct-16,-33.8
19-Oct-16,-31.5
18-Oct-16,-33.6
17-Oct-16,-33.9
14-Oct-16,-33.7
13-Oct-16,-33.64
12-Oct-16,-32.88
11-Oct-16,-33.4
10-Oct-16,-33.55
07-Oct-16,-29.86
06-Oct-16,-30.21
05-Oct-16,-27
04-Oct-16,-29.9
03-Oct-16,-30.75
30-Sep-16,-27.5
29-Sep-16,-26.38
28-Sep-16,-36.3
27-Sep-16,-35.8
26-Sep-16,-37
23-Sep-16,-36
22-Sep-16,-36
21-Sep-16,-36
20-Sep-16,-39
19-Sep-16,-31.99
16-Sep-16,-30.5
15-Sep-16,-31.57
14-Sep-16,-31
13-Sep-16,-33.8
12-Sep-16,-32.7
09-Sep-16,-33.5
08-Sep-16,-33.37
07-Sep-16,-33.25
06-Sep-16,-32.95
05-Sep-16,-30
02-Sep-16,-29
01-Sep-16,-28.78
31-Aug-16,-28.38
30-Aug-16,-28.75
29-Aug-16,-25.25
26-Aug-16,-25.85
25-Aug-16,-25.87
24-Aug-16,-26.31
23-Aug-16,-26
22-Aug-16,-26.5
19-Aug-16,-25.17
18-Aug-16,-25.25
17-Aug-16,-26
16-Aug-16,-25.95
15-Aug-16,-25.41
12-Aug-16,-24
11-Aug-16,-23.7
10-Aug-16,-23.77
09-Aug-16,-23.63
08-Aug-16,-24
05-Aug-16,-23.4
04-Aug-16,-23.5
03-Aug-16,-24.81
02-Aug-16,-25.6
01-Aug-16,-26.5
29-Jul-16,-23.98
28-Jul-16,-24.67
27-Jul-16,-25.15
26-Jul-16,-24.75
25-Jul-16,-24.86
22-Jul-16,-23.17
21-Jul-16,-23.5
20-Jul-16,-22.84
19-Jul-16,-22.88
18-Jul-16,-22.76
15-Jul-16,-23.1
14-Jul-16,-21.25
13-Jul-16,-22.05
12-Jul-16,-23.15
11-Jul-16,-21.75
08-Jul-16,-23.25
07-Jul-16,-23.07
06-Jul-16,-23.13
05-Jul-16,-22.63
04-Jul-16,-22
01-Jul-16,-21.5
30-Jun-16,-22
29-Jun-16,-22.95
28-Jun-16,-25
27-Jun-16,-30.05
24-Jun-16,-32.8
23-Jun-16,-23.82
22-Jun-16,-21.43
21-Jun-16,-24.9
20-Jun-16,-22.89
17-Jun-16,-23.5
16-Jun-16,-22.6
15-Jun-16,-24.15
14-Jun-16,-24.25
13-Jun-16,-22.48
10-Jun-16,-21.75
09-Jun-16,-21.75
08-Jun-16,-21.25
07-Jun-16,-21.65
06-Jun-16,-18.09
03-Jun-16,-20.9
02-Jun-16,-22.35
01-Jun-16,-22.95
31-May-16,-22.05
30-May-16,-19.9
27-May-16,-17.09
26-May-16,-17.19
25-May-16,-17.5
24-May-16,-17.35
23-May-16,-17.19
20-May-16,-16.5
19-May-16,-16.85
18-May-16,-15.55
17-May-16,-16.94
16-May-16,-16.61
13-May-16,-15.2
12-May-16,-16.1
11-May-16,-13.82
10-May-16,-14.98
09-May-16,-15.87
06-May-16,-15.48
05-May-16,-15.7
04-May-16,-15.98
03-May-16,-16.55
02-May-16,-16.4
29-Apr-16,-15.5
28-Apr-16,-15
27-Apr-16,-15.5
26-Apr-16,-16.28
25-Apr-16,-15.25
22-Apr-16,-15.16
21-Apr-16,-15.13
20-Apr-16,-17.2
19-Apr-16,-18.84
18-Apr-16,-16.84
15-Apr-16,-16.05
14-Apr-16,-16.05
13-Apr-16,-16.42
12-Apr-16,-16.47
11-Apr-16,-15.42
08-Apr-16,-15.4
07-Apr-16,-15.05
06-Apr-16,-16.63
05-Apr-16,-18
04-Apr-16,-19
01-Apr-16,-19.88
31-Mar-16,-17.88
30-Mar-16,-17.18
29-Mar-16,-16.75
28-Mar-16,-16.98
25-Mar-16,-16.76
24-Mar-16,-16.75
23-Mar-16,-16.13
22-Mar-16,-16.25
21-Mar-16,-16.8
18-Mar-16,-16.5
17-Mar-16,-17.5
16-Mar-16,-17.75
15-Mar-16,-18
14-Mar-16,-18.95
11-Mar-16,-17.05
10-Mar-16,-18.5
09-Mar-16,-18
08-Mar-16,-18.84
07-Mar-16,-19.38
04-Mar-16,-20.26
03-Mar-16,-22.06
02-Mar-16,-19.04
01-Mar-16,-17.72
29-Feb-16,-16.26
26-Feb-16,-15.5
25-Feb-16,-15.7
24-Feb-16,-15.5
23-Feb-16,-16
22-Feb-16,-14.5
19-Feb-16,-14.5
18-Feb-16,-14
17-Feb-16,-15.22
16-Feb-16,-14.47
15-Feb-16,-14
12-Feb-16,-14.63
11-Feb-16,-14.75
10-Feb-16,-16
09-Feb-16,-16.3
08-Feb-16,-16.15
05-Feb-16,-16.75
04-Feb-16,-15.5
03-Feb-16,-15.06
02-Feb-16,-15.97
01-Feb-16,-16.72
29-Jan-16,-16.75
28-Jan-16,-16.25
27-Jan-16,-17.16
26-Jan-16,-15.99
25-Jan-16,-15.15
22-Jan-16,-15
21-Jan-16,-16.02
20-Jan-16,-17.45
19-Jan-16,-17.54
18-Jan-16,-17.31
15-Jan-16,-16.5
14-Jan-16,-16.06
13-Jan-16,-16.03
12-Jan-16,-18.01
11-Jan-16,-18.91
08-Jan-16,-16.02
07-Jan-16,-15.75
06-Jan-16,-21.75
05-Jan-16,-30.05
04-Jan-16,-26.55
01-Jan-16,-17.53
31-Dec-15,-17.75
30-Dec-15,-18.7
29-Dec-15,-69.98
28-Dec-15,-54.88
25-Dec-15,-55
24-Dec-15,-50
23-Dec-15,-55
22-Dec-15,-77.34
21-Dec-15,-91.5
18-Dec-15,-82.5
17-Dec-15,-115.1
16-Dec-15,-92.5
15-Dec-15,-70
14-Dec-15,-63.31
11-Dec-15,-62
10-Dec-15,-74.95
09-Dec-15,-60
08-Dec-15,-53.13
07-Dec-15,-48.5
04-Dec-15,-47.08
03-Dec-15,-47.5
