Date,Line(QCZK=)
28-Mar-17,24.929
27-Mar-17,24.871
24-Mar-17,25.02
23-Mar-17,25.057
22-Mar-17,25.027
21-Mar-17,24.995
20-Mar-17,25.161
17-Mar-17,25.162
16-Mar-17,25.101
15-Mar-17,25.174
14-Mar-17,25.48
13-Mar-17,25.363
10-Mar-17,25.283
09-Mar-17,25.547
08-Mar-17,25.632
07-Mar-17,25.576
06-Mar-17,25.535
03-Mar-17,25.453
02-Mar-17,25.718
01-Mar-17,25.62
28-Feb-17,25.55
27-Feb-17,25.519
24-Feb-17,25.595
23-Feb-17,25.536
22-Feb-17,25.591
21-Feb-17,25.645
20-Feb-17,25.459
17-Feb-17,25.465
16-Feb-17,25.335
15-Feb-17,25.49
14-Feb-17,25.544
13-Feb-17,25.496
10-Feb-17,25.401
09-Feb-17,25.361
08-Feb-17,25.258
07-Feb-17,25.292
06-Feb-17,25.137
03-Feb-17,25.067
02-Feb-17,25.116
01-Feb-17,25.092
31-Jan-17,25.025
30-Jan-17,25.267
27-Jan-17,25.275
26-Jan-17,25.295
25-Jan-17,25.144
24-Jan-17,25.181
23-Jan-17,25.111
20-Jan-17,25.275
19-Jan-17,25.345
18-Jan-17,25.422
17-Jan-17,25.222
16-Jan-17,25.491
13-Jan-17,25.405
12-Jan-17,25.464
11-Jan-17,25.548
10-Jan-17,25.602
09-Jan-17,25.551
06-Jan-17,25.665
05-Jan-17,25.474
04-Jan-17,25.771
03-Jan-17,25.967
02-Jan-17,25.847
30-Dec-16,25.673
29-Dec-16,25.757
28-Dec-16,25.951
27-Dec-16,25.841
26-Dec-16,25.845
23-Dec-16,25.86
22-Dec-16,25.892
21-Dec-16,25.922
20-Dec-16,26.013
19-Dec-16,25.976
16-Dec-16,25.877
15-Dec-16,25.956
14-Dec-16,25.648
13-Dec-16,25.428
12-Dec-16,25.417
09-Dec-16,25.594
08-Dec-16,25.484
07-Dec-16,25.136
06-Dec-16,25.229
05-Dec-16,25.127
02-Dec-16,25.351
01-Dec-16,25.378
30-Nov-16,25.545
29-Nov-16,25.408
28-Nov-16,25.496
25-Nov-16,25.516
24-Nov-16,25.617
23-Nov-16,25.617
22-Nov-16,25.439
21-Nov-16,25.431
18-Nov-16,25.513
17-Nov-16,25.439
16-Nov-16,25.28
15-Nov-16,25.22
14-Nov-16,25.178
11-Nov-16,24.916
10-Nov-16,24.814
09-Nov-16,24.769
08-Nov-16,24.515
07-Nov-16,24.476
04-Nov-16,24.257
03-Nov-16,24.331
02-Nov-16,24.35
01-Nov-16,24.443
31-Oct-16,24.589
28-Oct-16,24.603
27-Oct-16,24.796
26-Oct-16,24.769
25-Oct-16,24.813
24-Oct-16,24.83
21-Oct-16,24.824
20-Oct-16,24.734
19-Oct-16,24.624
18-Oct-16,24.612
17-Oct-16,24.571
14-Oct-16,24.629
13-Oct-16,24.442
12-Oct-16,24.552
11-Oct-16,24.448
10-Oct-16,24.268
07-Oct-16,24.124
06-Oct-16,24.232
05-Oct-16,24.114
04-Oct-16,24.12
03-Oct-16,24.102
30-Sep-16,24.053
29-Sep-16,24.079
28-Sep-16,24.09
27-Sep-16,24.102
26-Sep-16,24.01
23-Sep-16,24.071
22-Sep-16,24.109
21-Sep-16,24.161
20-Sep-16,24.234
19-Sep-16,24.188
16-Sep-16,24.223
15-Sep-16,24.025
14-Sep-16,24.021
13-Sep-16,24.084
12-Sep-16,24.05
09-Sep-16,24.055
08-Sep-16,23.996
07-Sep-16,24.041
06-Sep-16,24.015
05-Sep-16,24.257
02-Sep-16,24.221
01-Sep-16,24.115
31-Aug-16,24.221
30-Aug-16,24.251
29-Aug-16,24.154
26-Aug-16,24.13
25-Aug-16,23.949
24-Aug-16,23.991
23-Aug-16,23.901
22-Aug-16,23.872
19-Aug-16,23.858
18-Aug-16,23.8
17-Aug-16,23.936
16-Aug-16,23.965
15-Aug-16,24.16
12-Aug-16,24.211
11-Aug-16,24.269
10-Aug-16,24.19
09-Aug-16,24.306
08-Aug-16,24.374
05-Aug-16,24.372
04-Aug-16,24.284
03-Aug-16,24.254
02-Aug-16,24.089
01-Aug-16,24.212
29-Jul-16,24.195
28-Jul-16,24.415
27-Jul-16,24.45
26-Jul-16,24.599
25-Jul-16,24.575
22-Jul-16,24.615
21-Jul-16,24.509
20-Jul-16,24.535
19-Jul-16,24.518
18-Jul-16,24.4
15-Jul-16,24.491
14-Jul-16,24.311
