Date,Line(QEUR=)
28-Mar-17,1.0841
27-Mar-17,1.0865
24-Mar-17,1.0799
23-Mar-17,1.0783
22-Mar-17,1.0797
21-Mar-17,1.0811
20-Mar-17,1.0739
17-Mar-17,1.0738
16-Mar-17,1.0766
15-Mar-17,1.0735
14-Mar-17,1.0604
13-Mar-17,1.0654
10-Mar-17,1.0672
09-Mar-17,1.0577
08-Mar-17,1.0541
07-Mar-17,1.0566
06-Mar-17,1.0582
03-Mar-17,1.0623
02-Mar-17,1.0507
01-Mar-17,1.0548
28-Feb-17,1.0577
27-Feb-17,1.0588
24-Feb-17,1.0563
23-Feb-17,1.0582
22-Feb-17,1.0556
21-Feb-17,1.0537
20-Feb-17,1.0614
17-Feb-17,1.0614
16-Feb-17,1.0674
15-Feb-17,1.0601
14-Feb-17,1.0578
13-Feb-17,1.0599
10-Feb-17,1.0641
09-Feb-17,1.0656
08-Feb-17,1.0699
07-Feb-17,1.0681
06-Feb-17,1.075
03-Feb-17,1.0784
02-Feb-17,1.0759
01-Feb-17,1.0769
31-Jan-17,1.0798
30-Jan-17,1.0695
27-Jan-17,1.0699
26-Jan-17,1.0682
25-Jan-17,1.0748
24-Jan-17,1.0731
23-Jan-17,1.0765
20-Jan-17,1.0703
19-Jan-17,1.0664
18-Jan-17,1.0631
17-Jan-17,1.0714
16-Jan-17,1.0603
13-Jan-17,1.0644
12-Jan-17,1.0613
11-Jan-17,1.0582
10-Jan-17,1.0555
09-Jan-17,1.0574
06-Jan-17,1.0533
05-Jan-17,1.0607
04-Jan-17,1.0488
03-Jan-17,1.0406
02-Jan-17,1.046
30-Dec-16,1.0516
29-Dec-16,1.0492
28-Dec-16,1.0412
27-Dec-16,1.0457
26-Dec-16,1.0456
23-Dec-16,1.0457
22-Dec-16,1.0437
21-Dec-16,1.0425
20-Dec-16,1.0387
19-Dec-16,1.0402
16-Dec-16,1.0451
15-Dec-16,1.0414
14-Dec-16,1.0537
13-Dec-16,1.0627
12-Dec-16,1.0635
09-Dec-16,1.0562
08-Dec-16,1.0616
07-Dec-16,1.0753
06-Dec-16,1.0719
05-Dec-16,1.0764
02-Dec-16,1.0673
01-Dec-16,1.0662
30-Nov-16,1.0588
29-Nov-16,1.065
28-Nov-16,1.0615
25-Nov-16,1.0587
24-Nov-16,1.0554
23-Nov-16,1.056
22-Nov-16,1.0626
21-Nov-16,1.063
18-Nov-16,1.0588
17-Nov-16,1.0626
16-Nov-16,1.069
15-Nov-16,1.0722
14-Nov-16,1.0737
11-Nov-16,1.0856
10-Nov-16,1.0893
09-Nov-16,1.091
08-Nov-16,1.1026
07-Nov-16,1.1041
04-Nov-16,1.1138
03-Nov-16,1.1106
02-Nov-16,1.1097
01-Nov-16,1.1056
31-Oct-16,1.0981
28-Oct-16,1.0987
27-Oct-16,1.0897
26-Oct-16,1.0909
25-Oct-16,1.0888
24-Oct-16,1.0883
21-Oct-16,1.0884
20-Oct-16,1.093
19-Oct-16,1.0974
18-Oct-16,1.0981
17-Oct-16,1.1
14-Oct-16,1.0971
13-Oct-16,1.1057
12-Oct-16,1.1008
11-Oct-16,1.1054
10-Oct-16,1.1138
07-Oct-16,1.1201
06-Oct-16,1.1151
05-Oct-16,1.1206
04-Oct-16,1.1205
03-Oct-16,1.1211
30-Sep-16,1.1241
29-Sep-16,1.1223
28-Sep-16,1.1216
27-Sep-16,1.1215
26-Sep-16,1.1254
23-Sep-16,1.1226
22-Sep-16,1.1208
21-Sep-16,1.1189
20-Sep-16,1.1155
19-Sep-16,1.1174
16-Sep-16,1.1155
15-Sep-16,1.1244
14-Sep-16,1.125
13-Sep-16,1.122
12-Sep-16,1.1234
09-Sep-16,1.1233
08-Sep-16,1.1261
07-Sep-16,1.1239
06-Sep-16,1.1256
05-Sep-16,1.1147
02-Sep-16,1.1156
01-Sep-16,1.1198
31-Aug-16,1.1158
30-Aug-16,1.1143
29-Aug-16,1.1189
26-Aug-16,1.1198
25-Aug-16,1.1283
24-Aug-16,1.1264
23-Aug-16,1.1306
22-Aug-16,1.1319
19-Aug-16,1.1326
18-Aug-16,1.1354
17-Aug-16,1.1289
16-Aug-16,1.1278
15-Aug-16,1.1184
12-Aug-16,1.1161
11-Aug-16,1.1137
10-Aug-16,1.1177
09-Aug-16,1.112
08-Aug-16,1.1093
05-Aug-16,1.1086
04-Aug-16,1.113
03-Aug-16,1.1149
02-Aug-16,1.1228
01-Aug-16,1.1163
29-Jul-16,1.1174
28-Jul-16,1.1076
27-Jul-16,1.1059
26-Jul-16,1.0987
25-Jul-16,1.0994
22-Jul-16,1.0976
21-Jul-16,1.1025
20-Jul-16,1.1015
19-Jul-16,1.1022
18-Jul-16,1.1074
15-Jul-16,1.1036
14-Jul-16,1.112
13-Jul-16,1.109
12-Jul-16,1.106
11-Jul-16,1.1058
08-Jul-16,1.1055
07-Jul-16,1.1063
06-Jul-16,1.11
05-Jul-16,1.1076
04-Jul-16,1.1156
01-Jul-16,1.1136
30-Jun-16,1.1106
29-Jun-16,1.1125
28-Jun-16,1.1067
27-Jun-16,1.1026
24-Jun-16,1.1117
23-Jun-16,1.1389
22-Jun-16,1.1297
21-Jun-16,1.1242
20-Jun-16,1.1314
17-Jun-16,1.1277
16-Jun-16,1.1226
15-Jun-16,1.1259
14-Jun-16,1.1208
13-Jun-16,1.1292
10-Jun-16,1.1251
09-Jun-16,1.1316
08-Jun-16,1.1394
07-Jun-16,1.1358
06-Jun-16,1.1355
03-Jun-16,1.1367
02-Jun-16,1.1151
01-Jun-16,1.1188
31-May-16,1.1132
30-May-16,1.1147
27-May-16,1.1115
26-May-16,1.1194
25-May-16,1.1155
24-May-16,1.1141
23-May-16,1.1219
20-May-16,1.1224
19-May-16,1.1203
18-May-16,1.1217
17-May-16,1.1314
16-May-16,1.132
