Date,Line(QGBP1M=)
28-Mar-17,10.3
27-Mar-17,10.27
24-Mar-17,11.48
23-Mar-17,11.85
22-Mar-17,11.75
21-Mar-17,11.95
20-Mar-17,12.35
17-Mar-17,11.65
16-Mar-17,11.35
15-Mar-17,11.75
14-Mar-17,11.67
13-Mar-17,11.54
10-Mar-17,11.5
09-Mar-17,10.63
08-Mar-17,10.61
07-Mar-17,11.13
06-Mar-17,11.23
03-Mar-17,10.3
02-Mar-17,10.33
01-Mar-17,10.89
28-Feb-17,10.41
27-Feb-17,10.74
24-Feb-17,6.84
23-Feb-17,6.25
22-Feb-17,6.4
21-Feb-17,6.36
20-Feb-17,6.18
17-Feb-17,5.91
16-Feb-17,5.96
15-Feb-17,5.78
14-Feb-17,5.94
13-Feb-17,5.74
10-Feb-17,5.8
09-Feb-17,5.82
08-Feb-17,5.85
07-Feb-17,6.04
06-Feb-17,6.19
03-Feb-17,6.18
02-Feb-17,6.2
01-Feb-17,6.46
31-Jan-17,6.13
30-Jan-17,6.24
27-Jan-17,6.55
26-Jan-17,7.26
25-Jan-17,7.96
24-Jan-17,7.95
23-Jan-17,8.42
20-Jan-17,8.23
19-Jan-17,8.11
18-Jan-17,8.06
17-Jan-17,8.28
16-Jan-17,8.42
13-Jan-17,7.55
12-Jan-17,7.46
11-Jan-17,7.75
10-Jan-17,8.28
09-Jan-17,8.7
06-Jan-17,8.48
05-Jan-17,8.55
04-Jan-17,8.51
03-Jan-17,8.64
02-Jan-17,10.79
30-Dec-16,10.76
29-Dec-16,9.8
28-Dec-16,17
27-Dec-16,15.73
26-Dec-16,15.72
23-Dec-16,15.95
22-Dec-16,15.64
21-Dec-16,16.11
20-Dec-16,16.4
19-Dec-16,15.63
16-Dec-16,14.76
15-Dec-16,15.06
14-Dec-16,15.05
13-Dec-16,15.48
12-Dec-16,15.34
09-Dec-16,13.58
08-Dec-16,13.1
07-Dec-16,13.48
06-Dec-16,13.97
05-Dec-16,15.13
02-Dec-16,14.65
01-Dec-16,14.35
30-Nov-16,13.75
29-Nov-16,14.15
28-Nov-16,7.36
25-Nov-16,6.73
24-Nov-16,6.83
23-Nov-16,7.29
22-Nov-16,7.45
21-Nov-16,6.35
18-Nov-16,5.95
17-Nov-16,5.8
16-Nov-16,6.1
15-Nov-16,6.38
14-Nov-16,5.81
11-Nov-16,5.45
10-Nov-16,5.48
09-Nov-16,5.67
08-Nov-16,5.81
07-Nov-16,5.7
04-Nov-16,5.99
03-Nov-16,5.8
02-Nov-16,6.22
01-Nov-16,6.86
31-Oct-16,7.06
28-Oct-16,6.82
27-Oct-16,6.39
26-Oct-16,6.83
25-Oct-16,7.31
24-Oct-16,7.26
21-Oct-16,6.41
20-Oct-16,6.15
19-Oct-16,5.95
18-Oct-16,6.63
17-Oct-16,7.3
14-Oct-16,5.85
13-Oct-16,6.88
12-Oct-16,5.7
11-Oct-16,5.68
10-Oct-16,5.99
07-Oct-16,6.44
06-Oct-16,6.5
05-Oct-16,6.17
04-Oct-16,7.74
03-Oct-16,8.76
30-Sep-16,8.13
29-Sep-16,6.96
28-Sep-16,9.91
27-Sep-16,10.8
26-Sep-16,9.66
23-Sep-16,8.91
22-Sep-16,9.26
21-Sep-16,9.12
20-Sep-16,9.51
19-Sep-16,9.04
16-Sep-16,9.11
15-Sep-16,8.53
14-Sep-16,8.9
13-Sep-16,9.03
12-Sep-16,8.34
09-Sep-16,8.44
08-Sep-16,8.65
07-Sep-16,9.45
06-Sep-16,10.05
05-Sep-16,10
02-Sep-16,10.03
01-Sep-16,10.01
31-Aug-16,10.16
30-Aug-16,10.41
29-Aug-16,7.07
26-Aug-16,7.02
25-Aug-16,7.05
24-Aug-16,7.1
23-Aug-16,7.02
22-Aug-16,6.9
19-Aug-16,6.25
18-Aug-16,6.14
17-Aug-16,6.44
16-Aug-16,6.48
15-Aug-16,6.38
12-Aug-16,6.05
11-Aug-16,6.09
10-Aug-16,6.55
09-Aug-16,7.37
08-Aug-16,7.16
05-Aug-16,6.52
04-Aug-16,6.78
03-Aug-16,6.94
02-Aug-16,6.83
01-Aug-16,6.95
29-Jul-16,6.17
28-Jul-16,6.41
27-Jul-16,6.71
26-Jul-16,6.33
25-Jul-16,5.71
22-Jul-16,4.3
21-Jul-16,3.94
20-Jul-16,4.15
19-Jul-16,3.75
18-Jul-16,3.68
15-Jul-16,3.1
14-Jul-16,2.73
13-Jul-16,4.7
12-Jul-16,4.74
11-Jul-16,4.91
08-Jul-16,4.58
07-Jul-16,4.74
06-Jul-16,5
05-Jul-16,3.94
04-Jul-16,4.3
01-Jul-16,4
30-Jun-16,3.65
29-Jun-16,2.73
28-Jun-16,2.86
27-Jun-16,6.63
24-Jun-16,8
23-Jun-16,2.85
22-Jun-16,4.24
21-Jun-16,4.25
20-Jun-16,4.43
17-Jun-16,5.09
16-Jun-16,4.7
15-Jun-16,4.32
14-Jun-16,4.3
13-Jun-16,3.99
10-Jun-16,3.67
09-Jun-16,3.93
08-Jun-16,4.28
07-Jun-16,4.7
06-Jun-16,4.32
03-Jun-16,3.98
02-Jun-16,4.33
01-Jun-16,4.07
31-May-16,3.43
30-May-16,3
27-May-16,2.94
26-May-16,1.78
25-May-16,1.71
24-May-16,1.53
23-May-16,1.55
20-May-16,1.29
19-May-16,1.15
18-May-16,1.3
17-May-16,1.25
16-May-16,1.22
13-May-16,1.07
12-May-16,0.95
11-May-16,0.95
10-May-16,1.2
09-May-16,1.25
06-May-16,1.2
05-May-16,1.14
04-May-16,1.16
03-May-16,1.1
02-May-16,1.12
29-Apr-16,1.12
28-Apr-16,0.92
27-Apr-16,0.98
26-Apr-16,1.07
25-Apr-16,0.97
22-Apr-16,0.73
21-Apr-16,0.68
20-Apr-16,0.81
19-Apr-16,0.85
18-Apr-16,0.7
15-Apr-16,0.65
14-Apr-16,0.75
13-Apr-16,0.85
12-Apr-16,0.76
11-Apr-16,0.58
08-Apr-16,0.57
07-Apr-16,0.74
06-Apr-16,0.89
05-Apr-16,0.95
04-Apr-16,1.02
01-Apr-16,1.25
31-Mar-16,1.32
30-Mar-16,1.01
29-Mar-16,1.47
28-Mar-16,1.48
25-Mar-16,1.46
24-Mar-16,1.44
23-Mar-16,1.77
22-Mar-16,1.77
21-Mar-16,1.63
18-Mar-16,1.44
17-Mar-16,1.53
16-Mar-16,1.68
15-Mar-16,1.75
14-Mar-16,1.64
11-Mar-16,1.42
10-Mar-16,1.45
09-Mar-16,1.45
08-Mar-16,1.68
07-Mar-16,1.75
04-Mar-16,1.86
03-Mar-16,1.96
02-Mar-16,1.96
01-Mar-16,1.93
29-Feb-16,1.75
26-Feb-16,1.52
25-Feb-16,0.72
24-Feb-16,1.03
23-Feb-16,1.16
22-Feb-16,0.62
19-Feb-16,0.47
18-Feb-16,0.5
17-Feb-16,0.51
16-Feb-16,0.36
15-Feb-16,0.27
12-Feb-16,0.33
11-Feb-16,0.47
10-Feb-16,0.5
09-Feb-16,0.53
08-Feb-16,0.52
05-Feb-16,0.37
04-Feb-16,0.33
03-Feb-16,0.24
02-Feb-16,0.38
01-Feb-16,0.33
29-Jan-16,0.48
28-Jan-16,0.3
27-Jan-16,0.33
26-Jan-16,0.28
25-Jan-16,0.12
22-Jan-16,0.07
21-Jan-16,0.2
20-Jan-16,0.42
