Date,Line(QGBP=)
28-Mar-17,1.2491
27-Mar-17,1.2557
24-Mar-17,1.247
23-Mar-17,1.2521
22-Mar-17,1.2484
21-Mar-17,1.2479
20-Mar-17,1.2358
17-Mar-17,1.2394
16-Mar-17,1.236
15-Mar-17,1.2292
14-Mar-17,1.2154
13-Mar-17,1.2219
10-Mar-17,1.2172
09-Mar-17,1.2167
08-Mar-17,1.217
07-Mar-17,1.22
06-Mar-17,1.2236
03-Mar-17,1.2295
02-Mar-17,1.2267
01-Mar-17,1.2295
28-Feb-17,1.2381
27-Feb-17,1.2444
24-Feb-17,1.2468
23-Feb-17,1.2555
22-Feb-17,1.2451
21-Feb-17,1.2474
20-Feb-17,1.2461
17-Feb-17,1.2415
16-Feb-17,1.2491
15-Feb-17,1.2459
14-Feb-17,1.247
13-Feb-17,1.2528
10-Feb-17,1.2492
09-Feb-17,1.2497
08-Feb-17,1.2539
07-Feb-17,1.2512
06-Feb-17,1.247
03-Feb-17,1.2488
02-Feb-17,1.2528
01-Feb-17,1.2659
31-Jan-17,1.2579
30-Jan-17,1.2486
27-Jan-17,1.2555
26-Jan-17,1.2594
25-Jan-17,1.2635
24-Jan-17,1.2521
23-Jan-17,1.2536
20-Jan-17,1.2375
19-Jan-17,1.2342
18-Jan-17,1.2259
17-Jan-17,1.2414
16-Jan-17,1.2049
13-Jan-17,1.2179
12-Jan-17,1.2163
11-Jan-17,1.2212
10-Jan-17,1.2177
09-Jan-17,1.2162
06-Jan-17,1.2287
05-Jan-17,1.2418
04-Jan-17,1.2322
03-Jan-17,1.2239
02-Jan-17,1.2276
30-Dec-16,1.2338
29-Dec-16,1.2263
28-Dec-16,1.2226
27-Dec-16,1.2271
26-Dec-16,1.2288
23-Dec-16,1.2293
22-Dec-16,1.2283
21-Dec-16,1.2354
20-Dec-16,1.2367
19-Dec-16,1.24
16-Dec-16,1.2497
15-Dec-16,1.2419
14-Dec-16,1.2565
13-Dec-16,1.2658
12-Dec-16,1.268
09-Dec-16,1.2577
08-Dec-16,1.2586
07-Dec-16,1.2622
06-Dec-16,1.2677
05-Dec-16,1.2734
02-Dec-16,1.2729
01-Dec-16,1.2593
30-Nov-16,1.2505
29-Nov-16,1.249
28-Nov-16,1.2416
25-Nov-16,1.2477
24-Nov-16,1.2453
23-Nov-16,1.244
22-Nov-16,1.2424
21-Nov-16,1.2494
18-Nov-16,1.2346
17-Nov-16,1.2417
16-Nov-16,1.2443
15-Nov-16,1.2457
14-Nov-16,1.2487
11-Nov-16,1.2602
10-Nov-16,1.2555
09-Nov-16,1.2406
08-Nov-16,1.2381
07-Nov-16,1.2398
04-Nov-16,1.2519
03-Nov-16,1.2462
02-Nov-16,1.2303
01-Nov-16,1.2243
31-Oct-16,1.2244
28-Oct-16,1.2185
27-Oct-16,1.2163
26-Oct-16,1.2249
25-Oct-16,1.2188
24-Oct-16,1.2239
21-Oct-16,1.2235
20-Oct-16,1.2252
19-Oct-16,1.2286
18-Oct-16,1.2297
17-Oct-16,1.2184
14-Oct-16,1.2187
13-Oct-16,1.2255
12-Oct-16,1.2209
11-Oct-16,1.2123
10-Oct-16,1.2363
07-Oct-16,1.2434
06-Oct-16,1.2616
05-Oct-16,1.2749
04-Oct-16,1.2728
03-Oct-16,1.2843
30-Sep-16,1.2977
29-Sep-16,1.297
28-Sep-16,1.3019
27-Sep-16,1.3022
26-Sep-16,1.2976
23-Sep-16,1.2974
22-Sep-16,1.3078
21-Sep-16,1.3027
20-Sep-16,1.2989
19-Sep-16,1.3027
16-Sep-16,1.3002
15-Sep-16,1.3238
14-Sep-16,1.3235
13-Sep-16,1.3195
12-Sep-16,1.3338
09-Sep-16,1.3267
08-Sep-16,1.3296
07-Sep-16,1.3338
06-Sep-16,1.344
05-Sep-16,1.3305
02-Sep-16,1.3293
01-Sep-16,1.3268
31-Aug-16,1.3138
30-Aug-16,1.3083
29-Aug-16,1.3103
26-Aug-16,1.3139
25-Aug-16,1.3191
24-Aug-16,1.3233
23-Aug-16,1.3196
22-Aug-16,1.3139
19-Aug-16,1.3076
18-Aug-16,1.3168
17-Aug-16,1.3043
16-Aug-16,1.3045
15-Aug-16,1.288
12-Aug-16,1.2923
11-Aug-16,1.2955
10-Aug-16,1.3011
09-Aug-16,1.3002
08-Aug-16,1.304
05-Aug-16,1.3073
04-Aug-16,1.3108
03-Aug-16,1.3328
02-Aug-16,1.3358
01-Aug-16,1.3178
29-Jul-16,1.3231
28-Jul-16,1.3165
27-Jul-16,1.3221
26-Jul-16,1.3132
25-Jul-16,1.3141
22-Jul-16,1.3111
21-Jul-16,1.3234
20-Jul-16,1.321
19-Jul-16,1.3111
18-Jul-16,1.3257
15-Jul-16,1.3193
14-Jul-16,1.3343
13-Jul-16,1.3147
12-Jul-16,1.3243
11-Jul-16,1.2994
08-Jul-16,1.2956
07-Jul-16,1.291
06-Jul-16,1.2931
05-Jul-16,1.3023
04-Jul-16,1.329
01-Jul-16,1.3262
30-Jun-16,1.3311
29-Jun-16,1.3426
28-Jun-16,1.3342
27-Jun-16,1.3219
24-Jun-16,1.368
23-Jun-16,1.4879
22-Jun-16,1.4708
21-Jun-16,1.4647
20-Jun-16,1.4699
17-Jun-16,1.4358
16-Jun-16,1.4203
15-Jun-16,1.4206
14-Jun-16,1.4117
13-Jun-16,1.4272
10-Jun-16,1.4258
09-Jun-16,1.4459
08-Jun-16,1.4502
07-Jun-16,1.4544
06-Jun-16,1.4442
03-Jun-16,1.452
02-Jun-16,1.4425
01-Jun-16,1.4416
31-May-16,1.4478
30-May-16,1.4639
27-May-16,1.4625
26-May-16,1.467
25-May-16,1.4696
24-May-16,1.4636
23-May-16,1.4485
20-May-16,1.4501
19-May-16,1.4612
18-May-16,1.4596
17-May-16,1.4464
16-May-16,1.4401
13-May-16,1.4362
12-May-16,1.445
11-May-16,1.4448
10-May-16,1.4441
09-May-16,1.4407
06-May-16,1.4431
05-May-16,1.4486
04-May-16,1.4492
03-May-16,1.4534
02-May-16,1.4673
29-Apr-16,1.4614
28-Apr-16,1.461
27-Apr-16,1.4543
26-Apr-16,1.4582
25-Apr-16,1.4482
22-Apr-16,1.4403
21-Apr-16,1.4323
20-Apr-16,1.4333
19-Apr-16,1.4393
18-Apr-16,1.4278
15-Apr-16,1.4195
14-Apr-16,1.4154
13-Apr-16,1.4203
12-Apr-16,1.4275
11-Apr-16,1.4241
08-Apr-16,1.4127
07-Apr-16,1.4057
06-Apr-16,1.4121
05-Apr-16,1.4161
04-Apr-16,1.4263
01-Apr-16,1.4227
31-Mar-16,1.4362
30-Mar-16,1.4378
29-Mar-16,1.4385
28-Mar-16,1.4254
25-Mar-16,1.4143
24-Mar-16,1.4154
23-Mar-16,1.4117
22-Mar-16,1.4208
21-Mar-16,1.4368
18-Mar-16,1.4481
17-Mar-16,1.4479
16-Mar-16,1.426
15-Mar-16,1.4153
14-Mar-16,1.4302
11-Mar-16,1.4388
10-Mar-16,1.428
09-Mar-16,1.4218
08-Mar-16,1.4216
07-Mar-16,1.4266
04-Mar-16,1.4228
03-Mar-16,1.4179
02-Mar-16,1.4078
01-Mar-16,1.3949
29-Feb-16,1.3916
26-Feb-16,1.387
25-Feb-16,1.3963
24-Feb-16,1.3927
23-Feb-16,1.4023
22-Feb-16,1.415
19-Feb-16,1.4407
18-Feb-16,1.4337
17-Feb-16,1.4297
16-Feb-16,1.4306
15-Feb-16,1.4435
12-Feb-16,1.4508
11-Feb-16,1.4477
10-Feb-16,1.4522
09-Feb-16,1.4473
08-Feb-16,1.4432
05-Feb-16,1.4503
04-Feb-16,1.4589
03-Feb-16,1.4604
02-Feb-16,1.4411
01-Feb-16,1.4433
29-Jan-16,1.4248
28-Jan-16,1.4362
27-Jan-16,1.4233
26-Jan-16,1.4352
25-Jan-16,1.4249
22-Jan-16,1.4266
21-Jan-16,1.4218
20-Jan-16,1.4191
19-Jan-16,1.4158
18-Jan-16,1.4244
15-Jan-16,1.4258
14-Jan-16,1.4414
13-Jan-16,1.4407
12-Jan-16,1.4444
11-Jan-16,1.4544
08-Jan-16,1.452
07-Jan-16,1.4618
06-Jan-16,1.4627
05-Jan-16,1.4672
04-Jan-16,1.4717
01-Jan-16,1.4748
31-Dec-15,1.4739
30-Dec-15,1.4817
29-Dec-15,1.4812
28-Dec-15,1.4877
25-Dec-15,1.4933
24-Dec-15,1.4917
23-Dec-15,1.4872
22-Dec-15,1.4825
21-Dec-15,1.4885
18-Dec-15,1.4895
17-Dec-15,1.4901
16-Dec-15,1.5004
15-Dec-15,1.5035
14-Dec-15,1.5142
11-Dec-15,1.5218
10-Dec-15,1.5159
09-Dec-15,1.5181
08-Dec-15,1.5008
07-Dec-15,1.5053
04-Dec-15,1.5113
03-Dec-15,1.5146
02-Dec-15,1.4952
01-Dec-15,1.5081
30-Nov-15,1.5057
27-Nov-15,1.5038
26-Nov-15,1.5102
25-Nov-15,1.5128
24-Nov-15,1.5087
23-Nov-15,1.5125
20-Nov-15,1.5192
19-Nov-15,1.529
18-Nov-15,1.5237
17-Nov-15,1.5215
16-Nov-15,1.5199
13-Nov-15,1.5234
12-Nov-15,1.5231
11-Nov-15,1.5213
10-Nov-15,1.5117
09-Nov-15,1.5115
06-Nov-15,1.505
05-Nov-15,1.5206
04-Nov-15,1.5383
03-Nov-15,1.5422
02-Nov-15,1.5417
30-Oct-15,1.5429
29-Oct-15,1.5311
28-Oct-15,1.5261
27-Oct-15,1.5297
26-Oct-15,1.535
23-Oct-15,1.5314
22-Oct-15,1.5395
21-Oct-15,1.542
20-Oct-15,1.5441
19-Oct-15,1.5466
16-Oct-15,1.5436
15-Oct-15,1.5457
14-Oct-15,1.5478
13-Oct-15,1.5249
12-Oct-15,1.5345
09-Oct-15,1.5304
08-Oct-15,1.5349
07-Oct-15,1.5319
06-Oct-15,1.5227
05-Oct-15,1.5144
02-Oct-15,1.5182
01-Oct-15,1.5129
30-Sep-15,1.5129
29-Sep-15,1.5151
28-Sep-15,1.5174
25-Sep-15,1.5182
24-Sep-15,1.5241
23-Sep-15,1.5246
22-Sep-15,1.5365
21-Sep-15,1.5508
18-Sep-15,1.5532
17-Sep-15,1.5591
16-Sep-15,1.5493
15-Sep-15,1.5342
14-Sep-15,1.5426
11-Sep-15,1.543
10-Sep-15,1.5446
09-Sep-15,1.5368
08-Sep-15,1.5396
07-Sep-15,1.527
04-Sep-15,1.5171
03-Sep-15,1.5258
02-Sep-15,1.5301
01-Sep-15,1.5303
31-Aug-15,1.5343
28-Aug-15,1.5393
27-Aug-15,1.54
26-Aug-15,1.5459
25-Aug-15,1.5688
24-Aug-15,1.5776
21-Aug-15,1.5697
20-Aug-15,1.5688
19-Aug-15,1.568
18-Aug-15,1.5661
17-Aug-15,1.5587
14-Aug-15,1.5646
13-Aug-15,1.5611
12-Aug-15,1.5615
11-Aug-15,1.5573
10-Aug-15,1.5587
07-Aug-15,1.5497
06-Aug-15,1.5512
05-Aug-15,1.5603
04-Aug-15,1.5563
03-Aug-15,1.5588
31-Jul-15,1.5624
30-Jul-15,1.5602
29-Jul-15,1.5604
28-Jul-15,1.5611
27-Jul-15,1.5559
24-Jul-15,1.5514
23-Jul-15,1.5514
22-Jul-15,1.5614
21-Jul-15,1.5559
20-Jul-15,1.5566
17-Jul-15,1.5609
16-Jul-15,1.561
15-Jul-15,1.5637
14-Jul-15,1.5636
13-Jul-15,1.5489
10-Jul-15,1.5526
09-Jul-15,1.538
08-Jul-15,1.5361
07-Jul-15,1.5462
06-Jul-15,1.5607
03-Jul-15,1.5571
02-Jul-15,1.5609
01-Jul-15,1.5618
30-Jun-15,1.571
29-Jun-15,1.5739
26-Jun-15,1.5752
25-Jun-15,1.5747
24-Jun-15,1.5706
23-Jun-15,1.5731
22-Jun-15,1.5825
19-Jun-15,1.5884
18-Jun-15,1.5881
17-Jun-15,1.5833
16-Jun-15,1.5649
15-Jun-15,1.5601
12-Jun-15,1.556
11-Jun-15,1.5518
10-Jun-15,1.5531
09-Jun-15,1.5386
08-Jun-15,1.535
05-Jun-15,1.5272
04-Jun-15,1.5366
03-Jun-15,1.5341
02-Jun-15,1.5344
01-Jun-15,1.5201
29-May-15,1.5291
28-May-15,1.5317
27-May-15,1.5355
26-May-15,1.5385
25-May-15,1.5471
22-May-15,1.549
21-May-15,1.5662
20-May-15,1.5538
19-May-15,1.551
18-May-15,1.5653
15-May-15,1.5723
14-May-15,1.5777
13-May-15,1.5745
12-May-15,1.5671
11-May-15,1.5587
08-May-15,1.5457
07-May-15,1.5246
06-May-15,1.5245
05-May-15,1.5183
04-May-15,1.512
01-May-15,1.5141
30-Apr-15,1.5351
29-Apr-15,1.544
28-Apr-15,1.5338
27-Apr-15,1.5239
24-Apr-15,1.5189
23-Apr-15,1.5059
22-Apr-15,1.5037
21-Apr-15,1.4926
20-Apr-15,1.4906
17-Apr-15,1.4962
16-Apr-15,1.4936
15-Apr-15,1.4842
14-Apr-15,1.478
13-Apr-15,1.4676
10-Apr-15,1.4632
09-Apr-15,1.4715
08-Apr-15,1.4867
07-Apr-15,1.4808
06-Apr-15,1.4881
03-Apr-15,1.4921
02-Apr-15,1.4829
01-Apr-15,1.4823
31-Mar-15,1.4818
30-Mar-15,1.4811
27-Mar-15,1.4877
26-Mar-15,1.485
25-Mar-15,1.4881
24-Mar-15,1.4852
23-Mar-15,1.4953
20-Mar-15,1.4951
19-Mar-15,1.4753
18-Mar-15,1.4978
17-Mar-15,1.4745
16-Mar-15,1.4829
13-Mar-15,1.4744
12-Mar-15,1.4883
11-Mar-15,1.4929
10-Mar-15,1.507
09-Mar-15,1.5129
06-Mar-15,1.5038
05-Mar-15,1.5241
04-Mar-15,1.5264
03-Mar-15,1.5361
02-Mar-15,1.5364
27-Feb-15,1.5435
26-Feb-15,1.5406
25-Feb-15,1.5529
24-Feb-15,1.5455
23-Feb-15,1.5457
20-Feb-15,1.5401
19-Feb-15,1.5413
18-Feb-15,1.5435
17-Feb-15,1.5354
16-Feb-15,1.5362
13-Feb-15,1.54
12-Feb-15,1.5385
11-Feb-15,1.5238
10-Feb-15,1.5254
09-Feb-15,1.5215
06-Feb-15,1.5246
05-Feb-15,1.5328
04-Feb-15,1.5183
03-Feb-15,1.5167
02-Feb-15,1.504
30-Jan-15,1.5069
29-Jan-15,1.5067
28-Jan-15,1.5136
27-Jan-15,1.5197
26-Jan-15,1.508
23-Jan-15,1.499
22-Jan-15,1.501
21-Jan-15,1.5143
20-Jan-15,1.5145
19-Jan-15,1.5112
16-Jan-15,1.5151
15-Jan-15,1.5184
14-Jan-15,1.5233
13-Jan-15,1.5159
12-Jan-15,1.5171
09-Jan-15,1.516
08-Jan-15,1.5089
07-Jan-15,1.5111
06-Jan-15,1.5152
05-Jan-15,1.525
02-Jan-15,1.5328
01-Jan-15,1.5546
31-Dec-14,1.5575
30-Dec-14,1.5559
29-Dec-14,1.5515
26-Dec-14,1.5557
25-Dec-14,1.5538
24-Dec-14,1.556
23-Dec-14,1.5522
22-Dec-14,1.559
19-Dec-14,1.5632
18-Dec-14,1.5671
17-Dec-14,1.5575
16-Dec-14,1.5749
15-Dec-14,1.5638
12-Dec-14,1.5721
11-Dec-14,1.5732
10-Dec-14,1.5716
09-Dec-14,1.5671
08-Dec-14,1.5653
05-Dec-14,1.5583
04-Dec-14,1.5673
03-Dec-14,1.5686
02-Dec-14,1.5636
01-Dec-14,1.573
28-Nov-14,1.5649
27-Nov-14,1.5736
26-Nov-14,1.5792
25-Nov-14,1.5708
24-Nov-14,1.5705
21-Nov-14,1.5656
20-Nov-14,1.5695
19-Nov-14,1.5682
18-Nov-14,1.5634
17-Nov-14,1.5641
14-Nov-14,1.567
13-Nov-14,1.5711
12-Nov-14,1.5782
11-Nov-14,1.5919
10-Nov-14,1.5842
07-Nov-14,1.5874
06-Nov-14,1.5832
05-Nov-14,1.5977
04-Nov-14,1.6004
03-Nov-14,1.5972
31-Oct-14,1.5998
30-Oct-14,1.6001
29-Oct-14,1.6011
28-Oct-14,1.6131
27-Oct-14,1.6121
24-Oct-14,1.6091
23-Oct-14,1.6031
22-Oct-14,1.6051
21-Oct-14,1.6112
20-Oct-14,1.6165
17-Oct-14,1.6095
16-Oct-14,1.6088
15-Oct-14,1.6022
14-Oct-14,1.5905
13-Oct-14,1.6085
10-Oct-14,1.6078
09-Oct-14,1.612
08-Oct-14,1.6168
07-Oct-14,1.6096
06-Oct-14,1.6084
03-Oct-14,1.5965
02-Oct-14,1.6144
01-Oct-14,1.6186
30-Sep-14,1.6214
29-Sep-14,1.6242
26-Sep-14,1.6247
25-Sep-14,1.6318
24-Sep-14,1.634
23-Sep-14,1.6389
22-Sep-14,1.6361
19-Sep-14,1.6288
18-Sep-14,1.6402
17-Sep-14,1.6276
16-Sep-14,1.6277
15-Sep-14,1.6233
12-Sep-14,1.6268
11-Sep-14,1.6255
10-Sep-14,1.6213
09-Sep-14,1.6107
08-Sep-14,1.6106
05-Sep-14,1.6327
04-Sep-14,1.6333
03-Sep-14,1.6463
02-Sep-14,1.6471
01-Sep-14,1.6608
29-Aug-14,1.6599
28-Aug-14,1.6587
27-Aug-14,1.6577
26-Aug-14,1.654
25-Aug-14,1.6579
22-Aug-14,1.6571
21-Aug-14,1.658
20-Aug-14,1.6596
19-Aug-14,1.6617
18-Aug-14,1.6728
15-Aug-14,1.6697
14-Aug-14,1.6687
13-Aug-14,1.6688
12-Aug-14,1.6814
11-Aug-14,1.6787
08-Aug-14,1.6774
07-Aug-14,1.6834
06-Aug-14,1.6855
05-Aug-14,1.6886
04-Aug-14,1.6863
01-Aug-14,1.6821
31-Jul-14,1.6886
30-Jul-14,1.6915
29-Jul-14,1.6945
28-Jul-14,1.6984
25-Jul-14,1.6975
24-Jul-14,1.6987
23-Jul-14,1.7044
22-Jul-14,1.7065
21-Jul-14,1.7076
18-Jul-14,1.7088
17-Jul-14,1.7101
16-Jul-14,1.7138
15-Jul-14,1.7143
14-Jul-14,1.7085
11-Jul-14,1.7125
10-Jul-14,1.7133
09-Jul-14,1.7158
08-Jul-14,1.7132
07-Jul-14,1.7128
04-Jul-14,1.716
03-Jul-14,1.7155
02-Jul-14,1.7166
01-Jul-14,1.715
30-Jun-14,1.7106
27-Jun-14,1.7035
26-Jun-14,1.7028
25-Jun-14,1.6984
24-Jun-14,1.6986
23-Jun-14,1.7028
20-Jun-14,1.7013
19-Jun-14,1.7041
18-Jun-14,1.6993
17-Jun-14,1.6966
16-Jun-14,1.6984
13-Jun-14,1.6965
12-Jun-14,1.6929
11-Jun-14,1.6788
10-Jun-14,1.6756
09-Jun-14,1.6803
06-Jun-14,1.6803
05-Jun-14,1.6821
04-Jun-14,1.6737
03-Jun-14,1.675
02-Jun-14,1.6746
30-May-14,1.6752
29-May-14,1.6717
28-May-14,1.6712
27-May-14,1.6811
26-May-14,1.6843
23-May-14,1.6833
22-May-14,1.6871
21-May-14,1.6902
20-May-14,1.6838
19-May-14,1.6814
16-May-14,1.6816
15-May-14,1.6789
14-May-14,1.6767
13-May-14,1.6826
12-May-14,1.6869
09-May-14,1.6851
08-May-14,1.6933
