Date,Line(QHUF=)
28-Mar-17,285.64
27-Mar-17,284.21
24-Mar-17,287.58
23-Mar-17,286.67
22-Mar-17,285.85
21-Mar-17,285.4
20-Mar-17,287.1
17-Mar-17,287.29
16-Mar-17,287.69
15-Mar-17,288.61
14-Mar-17,293.49
13-Mar-17,293.05
10-Mar-17,293.35
09-Mar-17,294.71
08-Mar-17,295.12
07-Mar-17,293.58
06-Mar-17,293.03
03-Mar-17,291.11
02-Mar-17,294.68
01-Mar-17,291.58
28-Feb-17,291.4
27-Feb-17,290.5
24-Feb-17,291.9
23-Feb-17,291.91
22-Feb-17,291.68
21-Feb-17,292.05
20-Feb-17,290.21
17-Feb-17,290.85
16-Feb-17,288.05
15-Feb-17,290.76
14-Feb-17,291.17
13-Feb-17,290.95
10-Feb-17,289.61
09-Feb-17,289.36
08-Feb-17,288.73
07-Feb-17,289.3
06-Feb-17,288.22
03-Feb-17,287.4
02-Feb-17,287.44
01-Feb-17,287.25
31-Jan-17,287.01
30-Jan-17,290.06
27-Jan-17,291.01
26-Jan-17,291.1
25-Jan-17,288.33
24-Jan-17,289.49
23-Jan-17,288.38
20-Jan-17,289.32
19-Jan-17,289.5
18-Jan-17,289.54
17-Jan-17,286.88
16-Jan-17,290.3
13-Jan-17,289.2
12-Jan-17,289.58
11-Jan-17,290.91
10-Jan-17,292.83
09-Jan-17,291.42
06-Jan-17,291.74
05-Jan-17,290.46
04-Jan-17,293.76
03-Jan-17,297.34
02-Jan-17,295.94
30-Dec-16,294
29-Dec-16,296
28-Dec-16,296.95
27-Dec-16,295.15
26-Dec-16,295.62
23-Dec-16,295.85
22-Dec-16,297.58
21-Dec-16,297.89
20-Dec-16,299.45
19-Dec-16,299.5
16-Dec-16,299.5
15-Dec-16,300.11
14-Dec-16,297.98
13-Dec-16,295.58
12-Dec-16,295.66
09-Dec-16,298.75
08-Dec-16,296.19
07-Dec-16,291.23
06-Dec-16,291.67
05-Dec-16,291.52
02-Dec-16,293.7
01-Dec-16,294.77
30-Nov-16,295.34
29-Nov-16,292.75
28-Nov-16,293.14
25-Nov-16,292.95
24-Nov-16,294.29
23-Nov-16,294.33
22-Nov-16,290.35
21-Nov-16,290.75
18-Nov-16,291.51
17-Nov-16,291.66
16-Nov-16,290.05
15-Nov-16,288.98
14-Nov-16,289.46
11-Nov-16,285.42
10-Nov-16,282.49
09-Nov-16,280.21
08-Nov-16,276.73
07-Nov-16,276.69
04-Nov-16,274.68
03-Nov-16,276.29
02-Nov-16,277.75
01-Nov-16,278.63
31-Oct-16,281.02
28-Oct-16,281.93
27-Oct-16,283.94
26-Oct-16,283.3
25-Oct-16,283.61
24-Oct-16,283.56
21-Oct-16,283.48
20-Oct-16,281.21
19-Oct-16,279.74
18-Oct-16,279.43
17-Oct-16,278.98
14-Oct-16,278.92
13-Oct-16,276.21
12-Oct-16,277.58
11-Oct-16,275.86
10-Oct-16,273.04
07-Oct-16,272
06-Oct-16,272.92
05-Oct-16,272.16
04-Oct-16,274.35
03-Oct-16,274.71
30-Sep-16,274.09
