Date,Line(QJPY1M=)
28-Mar-17,-13.6
27-Mar-17,-14.68
24-Mar-17,-15.08
23-Mar-17,-14
22-Mar-17,-15.95
21-Mar-17,-17.2
20-Mar-17,-18.9
17-Mar-17,-19.1
16-Mar-17,-18.22
15-Mar-17,-18.78
14-Mar-17,-18.48
13-Mar-17,-17.8
10-Mar-17,-17.26
09-Mar-17,-17.44
08-Mar-17,-16.7
07-Mar-17,-17.5
06-Mar-17,-17.49
03-Mar-17,-16.49
02-Mar-17,-16.33
01-Mar-17,-16.06
28-Feb-17,-15.87
27-Feb-17,-16.22
24-Feb-17,-10.23
23-Feb-17,-9.05
22-Feb-17,-9.3
21-Feb-17,-9.26
20-Feb-17,-8.9
17-Feb-17,-8.95
16-Feb-17,-8.93
15-Feb-17,-8.82
14-Feb-17,-8.65
13-Feb-17,-8.8
10-Feb-17,-8.86
09-Feb-17,-8.46
08-Feb-17,-8.51
07-Feb-17,-9.2
06-Feb-17,-9
03-Feb-17,-8.94
02-Feb-17,-8.19
01-Feb-17,-8.59
31-Jan-17,-8.4
30-Jan-17,-8.86
27-Jan-17,-9.44
26-Jan-17,-9.99
25-Jan-17,-9.82
24-Jan-17,-10.44
23-Jan-17,-11.49
20-Jan-17,-10.99
19-Jan-17,-10.86
18-Jan-17,-11
17-Jan-17,-11.31
16-Jan-17,-12.2
13-Jan-17,-11.69
12-Jan-17,-11.43
11-Jan-17,-11.63
10-Jan-17,-12.69
09-Jan-17,-14.41
06-Jan-17,-14.78
05-Jan-17,-13.69
04-Jan-17,-14.3
03-Jan-17,-16.55
02-Jan-17,-20.65
30-Dec-16,-20.95
29-Dec-16,-19.15
28-Dec-16,-26.66
27-Dec-16,-21.9
26-Dec-16,-21.14
23-Dec-16,-21.1
22-Dec-16,-20.7
21-Dec-16,-19.35
20-Dec-16,-21.6
19-Dec-16,-21.58
16-Dec-16,-21.4
15-Dec-16,-22.65
14-Dec-16,-22.67
13-Dec-16,-24.15
12-Dec-16,-24.8
09-Dec-16,-22.35
08-Dec-16,-21.54
07-Dec-16,-22.55
06-Dec-16,-23.6
