Date,Line(QJPY=)
28-Mar-17,110.6
27-Mar-17,110.66
24-Mar-17,111.35
23-Mar-17,110.95
22-Mar-17,111.16
21-Mar-17,111.73
20-Mar-17,112.56
17-Mar-17,112.72
16-Mar-17,113.32
15-Mar-17,113.38
14-Mar-17,114.75
13-Mar-17,114.88
10-Mar-17,114.75
09-Mar-17,114.95
08-Mar-17,114.35
07-Mar-17,113.99
06-Mar-17,113.89
03-Mar-17,114.02
02-Mar-17,114.41
01-Mar-17,113.74
28-Feb-17,112.78
27-Feb-17,112.71
24-Feb-17,112.19
23-Feb-17,112.6
22-Feb-17,113.3
21-Feb-17,113.69
20-Feb-17,113.1
17-Feb-17,112.88
16-Feb-17,113.24
15-Feb-17,114.17
14-Feb-17,114.26
13-Feb-17,113.75
10-Feb-17,113.22
09-Feb-17,113.26
08-Feb-17,111.94
07-Feb-17,112.39
06-Feb-17,111.75
03-Feb-17,112.71
02-Feb-17,112.81
01-Feb-17,113.25
31-Jan-17,112.8
30-Jan-17,113.78
27-Jan-17,115.08
26-Jan-17,114.54
25-Jan-17,113.29
24-Jan-17,113.8
23-Jan-17,112.7
20-Jan-17,114.63
19-Jan-17,114.87
18-Jan-17,114.67
17-Jan-17,112.64
16-Jan-17,114.2
13-Jan-17,114.53
12-Jan-17,114.72
11-Jan-17,115.41
10-Jan-17,115.77
09-Jan-17,116.03
06-Jan-17,116.93
05-Jan-17,115.36
04-Jan-17,117.27
03-Jan-17,117.76
02-Jan-17,117.53
30-Dec-16,116.9
29-Dec-16,116.55
28-Dec-16,117.26
27-Dec-16,117.43
26-Dec-16,117.09
23-Dec-16,117.35
22-Dec-16,117.54
21-Dec-16,117.55
20-Dec-16,117.88
19-Dec-16,117.09
16-Dec-16,117.99
15-Dec-16,118.18
14-Dec-16,117.05
13-Dec-16,115.19
12-Dec-16,115.03
09-Dec-16,115.4
08-Dec-16,114.04
07-Dec-16,113.77
06-Dec-16,114.02
05-Dec-16,113.85
02-Dec-16,113.58
01-Dec-16,114.1
30-Nov-16,114.47
29-Nov-16,112.39
28-Nov-16,111.94
25-Nov-16,113.08
24-Nov-16,113.34
23-Nov-16,112.52
22-Nov-16,111.13
21-Nov-16,110.83
18-Nov-16,110.95
17-Nov-16,110.12
16-Nov-16,109.08
15-Nov-16,109.18
14-Nov-16,108.43
11-Nov-16,106.68
10-Nov-16,106.83
09-Nov-16,105.67
08-Nov-16,105.16
07-Nov-16,104.47
04-Nov-16,103.14
03-Nov-16,102.99
02-Nov-16,103.31
01-Nov-16,104.16
31-Oct-16,104.82
28-Oct-16,104.71
27-Oct-16,105.29
26-Oct-16,104.48
25-Oct-16,104.23
24-Oct-16,104.19
21-Oct-16,103.84
20-Oct-16,103.96
19-Oct-16,103.45
18-Oct-16,103.87
17-Oct-16,103.9
14-Oct-16,104.2
13-Oct-16,103.7
12-Oct-16,104.21
11-Oct-16,103.52
10-Oct-16,103.61
07-Oct-16,102.92
06-Oct-16,103.95
05-Oct-16,103.51
04-Oct-16,102.9
03-Oct-16,101.65
30-Sep-16,101.35
29-Sep-16,101.03
28-Sep-16,100.67
27-Sep-16,100.45
26-Sep-16,100.34
23-Sep-16,101
22-Sep-16,100.75
21-Sep-16,100.32
20-Sep-16,101.71
19-Sep-16,101.94
16-Sep-16,102.3
15-Sep-16,102.1
14-Sep-16,102.43
13-Sep-16,102.56
12-Sep-16,101.86
09-Sep-16,102.7
08-Sep-16,102.5
07-Sep-16,101.74
06-Sep-16,102.02
05-Sep-16,103.44
02-Sep-16,103.99
01-Sep-16,103.25
31-Aug-16,103.43
30-Aug-16,102.97
29-Aug-16,101.92
26-Aug-16,101.84
25-Aug-16,100.53
24-Aug-16,100.45
23-Aug-16,100.25
22-Aug-16,100.34
19-Aug-16,100.22
18-Aug-16,99.89
17-Aug-16,100.27
16-Aug-16,100.31
15-Aug-16,101.26
12-Aug-16,101.31
11-Aug-16,101.96
10-Aug-16,101.29
09-Aug-16,101.9
08-Aug-16,102.45
05-Aug-16,101.81
04-Aug-16,101.22
03-Aug-16,101.24
02-Aug-16,100.9
01-Aug-16,102.4
29-Jul-16,102.07
28-Jul-16,105.27
27-Jul-16,105.4
26-Jul-16,104.66
25-Jul-16,105.79
22-Jul-16,106.08
21-Jul-16,105.82
20-Jul-16,106.85
19-Jul-16,106.13
18-Jul-16,106.16
15-Jul-16,104.85
14-Jul-16,105.35
13-Jul-16,104.5
12-Jul-16,104.7
11-Jul-16,102.81
08-Jul-16,100.55
07-Jul-16,100.79
06-Jul-16,101.33
05-Jul-16,101.73
04-Jul-16,102.57
01-Jul-16,102.53
30-Jun-16,103.29
29-Jun-16,102.83
28-Jun-16,102.76
27-Jun-16,102.01
24-Jun-16,102.23
23-Jun-16,106.16
22-Jun-16,104.41
21-Jun-16,104.75
20-Jun-16,103.94
17-Jun-16,104.13
16-Jun-16,104.25
15-Jun-16,106.02
14-Jun-16,106.12
13-Jun-16,106.25
10-Jun-16,106.99
09-Jun-16,107.1
08-Jun-16,106.99
07-Jun-16,107.36
06-Jun-16,107.56
03-Jun-16,106.53
02-Jun-16,108.87
01-Jun-16,109.54
31-May-16,110.71
30-May-16,111.13
27-May-16,110.24
26-May-16,109.77
25-May-16,110.2
24-May-16,109.99
23-May-16,109.24
20-May-16,110.15
19-May-16,109.97
18-May-16,110.2
17-May-16,109.14
16-May-16,109.03
13-May-16,108.62
12-May-16,109.03
11-May-16,108.43
10-May-16,109.27
09-May-16,108.33
06-May-16,107.13
05-May-16,107.26
04-May-16,107.02
03-May-16,106.61
02-May-16,106.42
29-Apr-16,106.37
28-Apr-16,108.12
27-Apr-16,111.47
26-Apr-16,111.32
25-Apr-16,111.21
22-Apr-16,111.79
21-Apr-16,109.46
20-Apr-16,109.85
19-Apr-16,109.2
18-Apr-16,108.83
15-Apr-16,108.77
14-Apr-16,109.4
13-Apr-16,109.35
12-Apr-16,108.55
11-Apr-16,107.95
08-Apr-16,108.06
07-Apr-16,108.22
06-Apr-16,109.8
05-Apr-16,110.33
04-Apr-16,111.33
01-Apr-16,111.67
31-Mar-16,112.58
30-Mar-16,112.43
29-Mar-16,112.7
28-Mar-16,113.46
25-Mar-16,113.07
24-Mar-16,112.91
23-Mar-16,112.38
22-Mar-16,112.38
21-Mar-16,111.95
18-Mar-16,111.57
17-Mar-16,111.39
16-Mar-16,112.59
15-Mar-16,113.19
14-Mar-16,113.83
11-Mar-16,113.82
10-Mar-16,113.2
09-Mar-16,113.34
08-Mar-16,112.62
07-Mar-16,113.47
04-Mar-16,113.76
03-Mar-16,113.69
02-Mar-16,113.48
01-Mar-16,114.01
29-Feb-16,112.69
26-Feb-16,114
25-Feb-16,113
24-Feb-16,112.19
23-Feb-16,112.12
22-Feb-16,112.93
19-Feb-16,112.57
18-Feb-16,113.25
17-Feb-16,114.11
16-Feb-16,114.08
15-Feb-16,114.58
12-Feb-16,113.23
11-Feb-16,112.43
10-Feb-16,113.35
09-Feb-16,115.12
08-Feb-16,115.85
05-Feb-16,116.9
04-Feb-16,116.77
03-Feb-16,117.92
02-Feb-16,119.97
01-Feb-16,120.99
29-Jan-16,121.06
28-Jan-16,118.83
27-Jan-16,118.68
26-Jan-16,118.43
25-Jan-16,118.3
22-Jan-16,118.79
21-Jan-16,117.71
20-Jan-16,116.94
19-Jan-16,117.64
18-Jan-16,117.35
15-Jan-16,117.07
14-Jan-16,118.05
13-Jan-16,117.69
12-Jan-16,117.65
11-Jan-16,117.77
08-Jan-16,117.46
07-Jan-16,117.68
06-Jan-16,118.48
05-Jan-16,119.06
04-Jan-16,119.44
01-Jan-16,120.33
31-Dec-15,120.32
30-Dec-15,120.52
29-Dec-15,120.47
28-Dec-15,120.41
25-Dec-15,120.43
24-Dec-15,120.44
23-Dec-15,120.93
22-Dec-15,121.08
21-Dec-15,121.19
18-Dec-15,121.22
17-Dec-15,122.56
16-Dec-15,122.22
15-Dec-15,121.68
14-Dec-15,121.03
11-Dec-15,120.87
10-Dec-15,121.6
09-Dec-15,121.44
08-Dec-15,122.93
07-Dec-15,123.38
04-Dec-15,123.18
03-Dec-15,122.62
02-Dec-15,123.25
01-Dec-15,122.87
30-Nov-15,123.1
27-Nov-15,122.85
26-Nov-15,122.62
25-Nov-15,122.72
24-Nov-15,122.54
23-Nov-15,122.85
20-Nov-15,122.91
19-Nov-15,122.87
18-Nov-15,123.64
17-Nov-15,123.45
16-Nov-15,123.18
13-Nov-15,122.65
12-Nov-15,122.61
11-Nov-15,122.85
10-Nov-15,123.15
09-Nov-15,123.19
06-Nov-15,123.16
05-Nov-15,121.75
04-Nov-15,121.56
03-Nov-15,121.07
02-Nov-15,120.76
30-Oct-15,120.63
29-Oct-15,121.13
28-Oct-15,121.1
27-Oct-15,120.46
26-Oct-15,121.1
23-Oct-15,121.47
22-Oct-15,120.69
21-Oct-15,119.95
20-Oct-15,119.84
19-Oct-15,119.5
