Date,Line(QKRW=)
28-Mar-17,1114.02
27-Mar-17,1111.32
24-Mar-17,1117.56
23-Mar-17,1122.68
22-Mar-17,1117.28
21-Mar-17,1123.03
20-Mar-17,1114.52
17-Mar-17,1129.04
16-Mar-17,1128.82
15-Mar-17,1128.62
14-Mar-17,1149.97
13-Mar-17,1147.99
10-Mar-17,1148.81
09-Mar-17,1160.1
08-Mar-17,1155.2
07-Mar-17,1150.68
06-Mar-17,1155.16
03-Mar-17,1152.32
02-Mar-17,1150.71
01-Mar-17,1140.23
28-Feb-17,1137.8
27-Feb-17,1134.66
24-Feb-17,1130.5
23-Feb-17,1133.1
22-Feb-17,1138.48
21-Feb-17,1142.9
20-Feb-17,1145.38
17-Feb-17,1150.78
16-Feb-17,1141.99
15-Feb-17,1135.28
14-Feb-17,1138.9
13-Feb-17,1149.71
10-Feb-17,1146.6
09-Feb-17,1151.02
08-Feb-17,1145.2
07-Feb-17,1143.4
06-Feb-17,1134.99
03-Feb-17,1138.52
02-Feb-17,1144.1
01-Feb-17,1153.71
31-Jan-17,1151.66
30-Jan-17,1170.71
27-Jan-17,1178.82
26-Jan-17,1172.4
25-Jan-17,1162.7
24-Jan-17,1170.23
23-Jan-17,1163.23
20-Jan-17,1175.4
19-Jan-17,1175.18
18-Jan-17,1178.38
17-Jan-17,1160.84
16-Jan-17,1183.38
13-Jan-17,1175
12-Jan-17,1175.92
11-Jan-17,1187.88
10-Jan-17,1201.8
09-Jan-17,1203.36
06-Jan-17,1202
05-Jan-17,1182.2
04-Jan-17,1196.16
03-Jan-17,1206.82
02-Jan-17,1203.93
30-Dec-16,1207.26
29-Dec-16,1206.4
28-Dec-16,1211.94
27-Dec-16,1207.68
26-Dec-16,1200.99
23-Dec-16,1200.36
22-Dec-16,1205.26
21-Dec-16,1194.2
20-Dec-16,1192.21
19-Dec-16,1188.15
16-Dec-16,1186.58
15-Dec-16,1183.4
14-Dec-16,1179.72
13-Dec-16,1164.3
12-Dec-16,1164.73
09-Dec-16,1172.9
08-Dec-16,1162.79
07-Dec-16,1158.28
06-Dec-16,1171.54
05-Dec-16,1167.16
02-Dec-16,1167.32
01-Dec-16,1167.73
30-Nov-16,1177.8
29-Nov-16,1167.76
28-Nov-16,1171.9
25-Nov-16,1175.77
24-Nov-16,1182.14
23-Nov-16,1181.9
22-Nov-16,1170.08
21-Nov-16,1180.2
18-Nov-16,1181.08
17-Nov-16,1180.02
16-Nov-16,1170.7
15-Nov-16,1167.63
14-Nov-16,1168.92
11-Nov-16,1165.58
10-Nov-16,1166.4
09-Nov-16,1157.9
08-Nov-16,1128.94
07-Nov-16,1141.68
04-Nov-16,1141.46
03-Nov-16,1144.47
02-Nov-16,1145.06
01-Nov-16,1145.85
31-Oct-16,1142.73
28-Oct-16,1147.32
27-Oct-16,1147.42
26-Oct-16,1138.76
25-Oct-16,1130.23
24-Oct-16,1135.6
21-Oct-16,1136.21
20-Oct-16,1131.14
19-Oct-16,1120.36
18-Oct-16,1125.14
17-Oct-16,1136.56
14-Oct-16,1136.42
13-Oct-16,1129.7
12-Oct-16,1125.51
11-Oct-16,1124.99
10-Oct-16,1108.64
07-Oct-16,1115.76
06-Oct-16,1115.36
05-Oct-16,1115.02
04-Oct-16,1116.58
03-Oct-16,1104.14
30-Sep-16,1101.91
29-Sep-16,1102.68
28-Sep-16,1092.6
27-Sep-16,1096.94
26-Sep-16,1108.92
23-Sep-16,1104.02
22-Sep-16,1103.34
21-Sep-16,1103.84
20-Sep-16,1117.2
19-Sep-16,1119.45
16-Sep-16,1126.06
15-Sep-16,1124.9
14-Sep-16,1126.58
13-Sep-16,1128.16
12-Sep-16,1107.68
09-Sep-16,1108.73
08-Sep-16,1098.63
07-Sep-16,1090.7
06-Sep-16,1094.64
05-Sep-16,1104.56
02-Sep-16,1116.46
01-Sep-16,1118.1
31-Aug-16,1116.3
30-Aug-16,1120.23
29-Aug-16,1120.08
26-Aug-16,1122.52
25-Aug-16,1115.82
24-Aug-16,1121.39
23-Aug-16,1120.58
22-Aug-16,1123.73
19-Aug-16,1115.57
18-Aug-16,1108.14
17-Aug-16,1108.08
16-Aug-16,1095.86
15-Aug-16,1097.92
12-Aug-16,1103.49
11-Aug-16,1097.85
10-Aug-16,1096.45
09-Aug-16,1103.05
08-Aug-16,1107.55
05-Aug-16,1115.27
04-Aug-16,1113.95
03-Aug-16,1117
02-Aug-16,1111.75
01-Aug-16,1108.45
29-Jul-16,1112.24
28-Jul-16,1124.6
27-Jul-16,1131.63
26-Jul-16,1137.8
25-Jul-16,1142.45
22-Jul-16,1136.35
21-Jul-16,1138.01
20-Jul-16,1143.25
19-Jul-16,1141.29
18-Jul-16,1135.24
15-Jul-16,1138.6
14-Jul-16,1132.55
13-Jul-16,1145.87
12-Jul-16,1143.65
11-Jul-16,1150.98
08-Jul-16,1149.8
07-Jul-16,1158.25
06-Jul-16,1159.45
05-Jul-16,1159.05
04-Jul-16,1152.15
01-Jul-16,1150
30-Jun-16,1152.35
29-Jun-16,1154.32
28-Jun-16,1167.07
27-Jun-16,1180.55
24-Jun-16,1171.95
23-Jun-16,1141.75
22-Jun-16,1149.28
21-Jun-16,1153.55
20-Jun-16,1159.9
17-Jun-16,1170.46
16-Jun-16,1172.65
15-Jun-16,1169.15
14-Jun-16,1176.35
13-Jun-16,1172.44
10-Jun-16,1171.53
09-Jun-16,1159.35
08-Jun-16,1154.25
07-Jun-16,1156.3
06-Jun-16,1162.99
03-Jun-16,1163.55
02-Jun-16,1186.81
01-Jun-16,1192.37
31-May-16,1189.74
30-May-16,1193.4
27-May-16,1186.25
26-May-16,1180.05
25-May-16,1181.85
24-May-16,1188.24
23-May-16,1183.24
20-May-16,1186.2
19-May-16,1187.48
18-May-16,1189.55
17-May-16,1177.24
16-May-16,1178.2
13-May-16,1176.8
12-May-16,1170.35
11-May-16,1165.55
10-May-16,1170.95
09-May-16,1175.6
06-May-16,1169.3
05-May-16,1167.9
04-May-16,1167.1
03-May-16,1151.9
02-May-16,1137.1
29-Apr-16,1144.83
28-Apr-16,1137.6
27-Apr-16,1149.01
26-Apr-16,1147.9
25-Apr-16,1151.21
22-Apr-16,1149.99
21-Apr-16,1141.4
20-Apr-16,1133.74
19-Apr-16,1128.99
18-Apr-16,1144.28
15-Apr-16,1146.99
14-Apr-16,1153.74
13-Apr-16,1146.24
12-Apr-16,1143.89
11-Apr-16,1142.65
08-Apr-16,1151.65
07-Apr-16,1160.8
06-Apr-16,1155.84
05-Apr-16,1160.81
04-Apr-16,1152.16
01-Apr-16,1147.9
31-Mar-16,1144.97
30-Mar-16,1143.85
29-Mar-16,1155.74
28-Mar-16,1165.99
25-Mar-16,1169.05
24-Mar-16,1168.55
23-Mar-16,1168.85
22-Mar-16,1157.27
21-Mar-16,1161.3
18-Mar-16,1164.3
17-Mar-16,1154.95
16-Mar-16,1178.95
15-Mar-16,1194.95
14-Mar-16,1189.05
