Date,Line(QMXN=)
28-Mar-17,18.9038
27-Mar-17,18.8905
24-Mar-17,18.7575
23-Mar-17,18.93
22-Mar-17,19.0255
21-Mar-17,19.1019
20-Mar-17,19.0131
17-Mar-17,19.0765
16-Mar-17,19.266
15-Mar-17,19.216
14-Mar-17,19.665
13-Mar-17,19.6191
10-Mar-17,19.6063
09-Mar-17,19.8385
08-Mar-17,19.6715
07-Mar-17,19.495
06-Mar-17,19.615
03-Mar-17,19.51
02-Mar-17,20.002
01-Mar-17,19.811
28-Feb-17,20.1075
27-Feb-17,19.906
24-Feb-17,19.9103
23-Feb-17,19.6667
22-Feb-17,19.9073
21-Feb-17,20.0113
20-Feb-17,20.3735
17-Feb-17,20.4378
16-Feb-17,20.3835
15-Feb-17,20.278
14-Feb-17,20.26
13-Feb-17,20.282
10-Feb-17,20.347
09-Feb-17,20.3495
08-Feb-17,20.481
07-Feb-17,20.6225
06-Feb-17,20.5682
03-Feb-17,20.3878
02-Feb-17,20.5479
01-Feb-17,20.7085
31-Jan-17,20.834
30-Jan-17,20.789
27-Jan-17,20.895
26-Jan-17,21.216
25-Jan-17,21.0765
24-Jan-17,21.528
23-Jan-17,21.393
20-Jan-17,21.5945
19-Jan-17,21.955
18-Jan-17,21.929
17-Jan-17,21.504
16-Jan-17,21.735
13-Jan-17,21.475
12-Jan-17,21.785
11-Jan-17,21.861
10-Jan-17,21.804
09-Jan-17,21.379
06-Jan-17,21.229
05-Jan-17,21.4248
04-Jan-17,21.4347
03-Jan-17,21.111
02-Jan-17,20.7352
30-Dec-16,20.7275
29-Dec-16,20.7275
28-Dec-16,20.752
27-Dec-16,20.7518
26-Dec-16,20.6337
23-Dec-16,20.6135
22-Dec-16,20.756
21-Dec-16,20.5562
20-Dec-16,20.4613
19-Dec-16,20.388
16-Dec-16,20.4365
15-Dec-16,20.3345
14-Dec-16,20.471
13-Dec-16,20.2805
12-Dec-16,20.2153
09-Dec-16,20.3938
08-Dec-16,20.3025
07-Dec-16,20.333
06-Dec-16,20.396
05-Dec-16,20.592
02-Dec-16,20.6275
01-Dec-16,20.7675
30-Nov-16,20.572
29-Nov-16,20.617
28-Nov-16,20.633
25-Nov-16,20.6915
24-Nov-16,20.7415
23-Nov-16,20.645
22-Nov-16,20.5885
21-Nov-16,20.4538
18-Nov-16,20.635
17-Nov-16,20.425
16-Nov-16,20.2095
15-Nov-16,20.2712
14-Nov-16,20.7035
11-Nov-16,20.7303
10-Nov-16,20.5815
09-Nov-16,19.847
08-Nov-16,18.3075
07-Nov-16,18.5935
04-Nov-16,19.023
03-Nov-16,19.175
02-Nov-16,19.367
01-Nov-16,19.191
31-Oct-16,18.864
28-Oct-16,18.9685
27-Oct-16,18.841
26-Oct-16,18.689
25-Oct-16,18.525
24-Oct-16,18.555
21-Oct-16,18.5888
20-Oct-16,18.62
19-Oct-16,18.513
18-Oct-16,18.6105
17-Oct-16,18.855
14-Oct-16,19.01
13-Oct-16,18.9269
12-Oct-16,18.91
11-Oct-16,18.905
10-Oct-16,18.929
07-Oct-16,19.2943
06-Oct-16,19.2375
05-Oct-16,19.21
04-Oct-16,19.326
03-Oct-16,19.287
30-Sep-16,19.385
29-Sep-16,19.525
28-Sep-16,19.37
27-Sep-16,19.39
26-Sep-16,19.875
23-Sep-16,19.79
22-Sep-16,19.615
21-Sep-16,19.74
20-Sep-16,19.815
19-Sep-16,19.69
16-Sep-16,19.602
15-Sep-16,19.347
14-Sep-16,19.274
13-Sep-16,19.08
12-Sep-16,18.814
09-Sep-16,18.912
08-Sep-16,18.67
07-Sep-16,18.382
06-Sep-16,18.273
05-Sep-16,18.565
02-Sep-16,18.58
01-Sep-16,18.75
31-Aug-16,18.7851
30-Aug-16,18.8047
29-Aug-16,18.625
26-Aug-16,18.6015
25-Aug-16,18.365
24-Aug-16,18.457
23-Aug-16,18.5689
22-Aug-16,18.29
19-Aug-16,18.2184
18-Aug-16,18.188
17-Aug-16,18.1355
16-Aug-16,18.061
15-Aug-16,18.0775
12-Aug-16,18.2612
11-Aug-16,18.229
10-Aug-16,18.4174
09-Aug-16,18.4365
08-Aug-16,18.555
05-Aug-16,18.7572
04-Aug-16,18.9088
03-Aug-16,18.882
02-Aug-16,18.937
01-Aug-16,18.8669
29-Jul-16,18.7525
28-Jul-16,18.8925
27-Jul-16,18.8265
26-Jul-16,18.7755
25-Jul-16,18.7783
22-Jul-16,18.5475
21-Jul-16,18.5711
20-Jul-16,18.6758
19-Jul-16,18.5
18-Jul-16,18.38
15-Jul-16,18.6197
14-Jul-16,18.355
13-Jul-16,18.369
12-Jul-16,18.341
11-Jul-16,18.467
08-Jul-16,18.5038
07-Jul-16,18.831
06-Jul-16,18.733
05-Jul-16,18.8185
04-Jul-16,18.419
01-Jul-16,18.3553
30-Jun-16,18.28
29-Jun-16,18.486
28-Jun-16,18.8279
27-Jun-16,19.1815
24-Jun-16,18.931
23-Jun-16,18.225
22-Jun-16,18.495
21-Jun-16,18.623
20-Jun-16,18.6575
17-Jun-16,18.8425
16-Jun-16,18.9435
15-Jun-16,18.9122
14-Jun-16,18.9309
13-Jun-16,18.8405
10-Jun-16,18.63
09-Jun-16,18.247
08-Jun-16,18.1199
07-Jun-16,18.3587
06-Jun-16,18.6675
03-Jun-16,18.5925
02-Jun-16,18.674
01-Jun-16,18.5238
31-May-16,18.4684
30-May-16,18.4843
27-May-16,18.4562
26-May-16,18.455
25-May-16,18.484
24-May-16,18.4803
23-May-16,18.518
20-May-16,18.342
19-May-16,18.4235
18-May-16,18.4387
17-May-16,18.27
16-May-16,18.3055
13-May-16,18.1668
12-May-16,17.974
11-May-16,17.9946
10-May-16,17.9905
09-May-16,18.202
06-May-16,17.8813
05-May-16,17.8942
04-May-16,17.7995
03-May-16,17.6065
02-May-16,17.2014
29-Apr-16,17.175
28-Apr-16,17.272
27-Apr-16,17.324
26-Apr-16,17.3708
25-Apr-16,17.5605
22-Apr-16,17.4777
21-Apr-16,17.467
20-Apr-16,17.2788
19-Apr-16,17.3122
18-Apr-16,17.4382
15-Apr-16,17.5624
14-Apr-16,17.4462
13-Apr-16,17.4308
12-Apr-16,17.4818
11-Apr-16,17.6448
08-Apr-16,17.775
07-Apr-16,17.8753
06-Apr-16,17.6531
05-Apr-16,17.6892
04-Apr-16,17.49
01-Apr-16,17.33
31-Mar-16,17.2806
30-Mar-16,17.2325
29-Mar-16,17.3399
28-Mar-16,17.435
25-Mar-16,17.5376
24-Mar-16,17.6118
23-Mar-16,17.5887
22-Mar-16,17.3331
21-Mar-16,17.4149
18-Mar-16,17.3923
17-Mar-16,17.32
16-Mar-16,17.6
15-Mar-16,17.885
14-Mar-16,17.7484
11-Mar-16,17.6964
10-Mar-16,17.8141
09-Mar-16,17.7623
08-Mar-16,17.9299
07-Mar-16,17.755
04-Mar-16,17.76
03-Mar-16,17.9215
02-Mar-16,17.82
01-Mar-16,17.915
29-Feb-16,18.135
26-Feb-16,18.2766
25-Feb-16,18.1271
24-Feb-16,18.215
23-Feb-16,18.2108
22-Feb-16,18.075
19-Feb-16,18.225
18-Feb-16,18.29
17-Feb-16,18.361
16-Feb-16,18.885
15-Feb-16,18.8324
12-Feb-16,18.91
11-Feb-16,19.15
10-Feb-16,18.935
09-Feb-16,18.8037
08-Feb-16,18.6736
05-Feb-16,18.4448
04-Feb-16,18.28
03-Feb-16,18.1708
02-Feb-16,18.4805
01-Feb-16,18.2387
29-Jan-16,18.11
28-Jan-16,18.33
27-Jan-16,18.47
26-Jan-16,18.465
25-Jan-16,18.605
22-Jan-16,18.435
21-Jan-16,18.7283
20-Jan-16,18.525
19-Jan-16,18.2784
18-Jan-16,18.2095
15-Jan-16,18.262
14-Jan-16,17.8823
13-Jan-16,17.949
12-Jan-16,17.895
11-Jan-16,17.885
08-Jan-16,17.935
07-Jan-16,17.855
06-Jan-16,17.54
05-Jan-16,17.3387
04-Jan-16,17.3099
01-Jan-16,17.18
31-Dec-15,17.18
30-Dec-15,17.3825
29-Dec-15,17.25
28-Dec-15,17.2498
25-Dec-15,17.23
24-Dec-15,17.225
23-Dec-15,17.225
22-Dec-15,17.1898
21-Dec-15,17.1603
18-Dec-15,17.145
17-Dec-15,17.05
16-Dec-15,16.985
15-Dec-15,17.11
14-Dec-15,17.3095
11-Dec-15,17.392
10-Dec-15,17.1968
09-Dec-15,17.0635
08-Dec-15,17.027
07-Dec-15,16.8889
04-Dec-15,16.6559
03-Dec-15,16.7134
02-Dec-15,16.5687
01-Dec-15,16.5206
30-Nov-15,16.5745
27-Nov-15,16.6246
26-Nov-15,16.5641
25-Nov-15,16.5024
24-Nov-15,16.5353
23-Nov-15,16.5476
20-Nov-15,16.5335
19-Nov-15,16.621
18-Nov-15,16.7386
17-Nov-15,16.7228
16-Nov-15,16.7701
13-Nov-15,16.6828
12-Nov-15,16.7353
11-Nov-15,16.7309
10-Nov-15,16.7553
09-Nov-15,16.7735
06-Nov-15,16.8003
05-Nov-15,16.6041
04-Nov-15,16.5395
03-Nov-15,16.3982
02-Nov-15,16.4422
30-Oct-15,16.5
29-Oct-15,16.6323
28-Oct-15,16.6385
27-Oct-15,16.543
26-Oct-15,16.5329
23-Oct-15,16.5937
22-Oct-15,16.4784
21-Oct-15,16.6561
20-Oct-15,16.5641
19-Oct-15,16.4892
16-Oct-15,16.4268
15-Oct-15,16.39
14-Oct-15,16.4734
13-Oct-15,16.6563
12-Oct-15,16.46
09-Oct-15,16.432
08-Oct-15,16.4604
07-Oct-15,16.6518
06-Oct-15,16.6518
05-Oct-15,16.7959
02-Oct-15,16.7597
01-Oct-15,16.9208
30-Sep-15,16.9193
29-Sep-15,17.0253
28-Sep-15,17.0738
25-Sep-15,16.9725
24-Sep-15,16.8701
23-Sep-15,17.1155
22-Sep-15,16.8891
21-Sep-15,16.6632
18-Sep-15,16.6535
17-Sep-15,16.6
16-Sep-15,16.5517
15-Sep-15,16.6901
14-Sep-15,16.754
11-Sep-15,16.8376
10-Sep-15,16.7763
09-Sep-15,16.8235
08-Sep-15,16.8253
07-Sep-15,16.9918
04-Sep-15,16.9486
03-Sep-15,16.802
02-Sep-15,16.8262
01-Sep-15,16.9692
31-Aug-15,16.7522
28-Aug-15,16.7519
27-Aug-15,16.8776
26-Aug-15,17.0058
25-Aug-15,17.208
24-Aug-15,17.2032
21-Aug-15,16.9877
20-Aug-15,16.8023
19-Aug-15,16.6188
18-Aug-15,16.4003
17-Aug-15,16.4272
14-Aug-15,16.3756
13-Aug-15,16.4026
12-Aug-15,16.2823
11-Aug-15,16.3145
10-Aug-15,16.1624
07-Aug-15,16.1538
06-Aug-15,16.324
05-Aug-15,16.3758
04-Aug-15,16.2958
03-Aug-15,16.1797
31-Jul-15,16.1106
30-Jul-15,16.2681
29-Jul-15,16.289
28-Jul-15,16.2735
27-Jul-15,16.2917
24-Jul-15,16.2696
23-Jul-15,16.2163
22-Jul-15,16.095
21-Jul-15,16.0048
20-Jul-15,16.008
17-Jul-15,15.9288
16-Jul-15,15.8324
15-Jul-15,15.782
14-Jul-15,15.6655
13-Jul-15,15.7023
10-Jul-15,15.714
09-Jul-15,15.816
08-Jul-15,15.8482
07-Jul-15,15.7878
06-Jul-15,15.7122
03-Jul-15,15.7312
02-Jul-15,15.6618
01-Jul-15,15.7816
30-Jun-15,15.7389
29-Jun-15,15.6884
26-Jun-15,15.5553
25-Jun-15,15.4821
24-Jun-15,15.4999
23-Jun-15,15.4003
22-Jun-15,15.3415
19-Jun-15,15.3467
18-Jun-15,15.3424
17-Jun-15,15.258
16-Jun-15,15.3904
15-Jun-15,15.4343
12-Jun-15,15.4022
11-Jun-15,15.3491
10-Jun-15,15.4308
09-Jun-15,15.5778
08-Jun-15,15.6295
05-Jun-15,15.709
04-Jun-15,15.537
03-Jun-15,15.5163
02-Jun-15,15.4318
01-Jun-15,15.4838
29-May-15,15.3775
28-May-15,15.3138
27-May-15,15.2828
26-May-15,15.297
25-May-15,15.2568
22-May-15,15.261
21-May-15,15.2239
20-May-15,15.189
19-May-15,15.1823
18-May-15,15.1158
15-May-15,15.0053
14-May-15,15.1018
13-May-15,15.2645
12-May-15,15.3421
11-May-15,15.3597
08-May-15,15.1173
07-May-15,15.3182
06-May-15,15.3573
05-May-15,15.3414
04-May-15,15.4547
01-May-15,15.5784
30-Apr-15,15.3488
29-Apr-15,15.2195
28-Apr-15,15.2545
27-Apr-15,15.3514
24-Apr-15,15.388
23-Apr-15,15.354
22-Apr-15,15.442
21-Apr-15,15.435
20-Apr-15,15.4503
17-Apr-15,15.3284
16-Apr-15,15.171
15-Apr-15,15.2665
14-Apr-15,15.2625
13-Apr-15,15.3803
10-Apr-15,15.2262
09-Apr-15,15.088
08-Apr-15,14.9089
07-Apr-15,14.9305
06-Apr-15,14.9179
03-Apr-15,14.8111
02-Apr-15,15.0013
01-Apr-15,15.15
31-Mar-15,15.2618
30-Mar-15,15.262
27-Mar-15,15.235
26-Mar-15,15.1395
25-Mar-15,14.9913
24-Mar-15,14.941
23-Mar-15,14.93
20-Mar-15,15.055
19-Mar-15,15.2775
18-Mar-15,15.0925
17-Mar-15,15.3717
16-Mar-15,15.4177
13-Mar-15,15.4859
12-Mar-15,15.3905
11-Mar-15,15.4945
10-Mar-15,15.6255
09-Mar-15,15.4743
06-Mar-15,15.4983
05-Mar-15,15.1945
04-Mar-15,15.0547
03-Mar-15,14.995
02-Mar-15,15.0155
27-Feb-15,14.9508
26-Feb-15,14.9948
25-Feb-15,14.9302
24-Feb-15,14.912
23-Feb-15,15.0892
20-Feb-15,15.0293
19-Feb-15,15.0022
18-Feb-15,14.8632
17-Feb-15,14.9155
16-Feb-15,14.925
13-Feb-15,14.8853
12-Feb-15,14.9213
11-Feb-15,15.0735
10-Feb-15,14.9565
09-Feb-15,14.8338
06-Feb-15,14.8483
05-Feb-15,14.7895
04-Feb-15,14.8915
03-Feb-15,14.6527
02-Feb-15,14.8672
30-Jan-15,14.989
29-Jan-15,14.802
28-Jan-15,14.755
27-Jan-15,14.619
26-Jan-15,14.5738
23-Jan-15,14.653
22-Jan-15,14.6312
21-Jan-15,14.7543
20-Jan-15,14.6608
19-Jan-15,14.618
16-Jan-15,14.5576
15-Jan-15,14.6643
14-Jan-15,14.485
13-Jan-15,14.614
12-Jan-15,14.6505
09-Jan-15,14.6015
08-Jan-15,14.6665
07-Jan-15,14.713
06-Jan-15,14.8948
05-Jan-15,14.9415
02-Jan-15,14.8335
01-Jan-15,14.7535
31-Dec-14,14.749
30-Dec-14,14.7335
29-Dec-14,14.774
26-Dec-14,14.7075
25-Dec-14,14.7169
24-Dec-14,14.715
23-Dec-14,14.7593
22-Dec-14,14.6575
19-Dec-14,14.6048
18-Dec-14,14.5765
17-Dec-14,14.5642
16-Dec-14,14.7495
15-Dec-14,14.7585
12-Dec-14,14.7628
11-Dec-14,14.7762
10-Dec-14,14.5585
09-Dec-14,14.4225
08-Dec-14,14.3818
05-Dec-14,14.359
04-Dec-14,14.156
03-Dec-14,14.1007
02-Dec-14,14.1005
01-Dec-14,13.9945
28-Nov-14,13.9368
27-Nov-14,13.763
26-Nov-14,13.7265
25-Nov-14,13.6742
24-Nov-14,13.6582
21-Nov-14,13.62
20-Nov-14,13.6509
19-Nov-14,13.6193
18-Nov-14,13.556
17-Nov-14,13.59
14-Nov-14,13.534
13-Nov-14,13.604
12-Nov-14,13.5567
11-Nov-14,13.602
10-Nov-14,13.6075
07-Nov-14,13.5405
06-Nov-14,13.6367
05-Nov-14,13.574
04-Nov-14,13.5553
03-Nov-14,13.6075
31-Oct-14,13.4773
30-Oct-14,13.4418
29-Oct-14,13.4978
28-Oct-14,13.4415
27-Oct-14,13.54
24-Oct-14,13.5587
23-Oct-14,13.5625
22-Oct-14,13.5565
21-Oct-14,13.5395
20-Oct-14,13.5335
17-Oct-14,13.522
16-Oct-14,13.5587
15-Oct-14,13.5307
14-Oct-14,13.4455
13-Oct-14,13.4475
10-Oct-14,13.4825
09-Oct-14,13.4365
08-Oct-14,13.3373
07-Oct-14,13.4753
06-Oct-14,13.3977
03-Oct-14,13.4862
02-Oct-14,13.382
01-Oct-14,13.455
30-Sep-14,13.4278
29-Sep-14,13.499
26-Sep-14,13.447
25-Sep-14,13.3868
24-Sep-14,13.2795
23-Sep-14,13.3175
22-Sep-14,13.278
19-Sep-14,13.211
18-Sep-14,13.236
17-Sep-14,13.245
16-Sep-14,13.1595
15-Sep-14,13.2362
12-Sep-14,13.2535
11-Sep-14,13.2295
10-Sep-14,13.1932
09-Sep-14,13.202
08-Sep-14,13.1385
05-Sep-14,13.0305
04-Sep-14,13.1475
03-Sep-14,13.0985
