Date,Line(QNOK1M=)
28-Mar-17,-27.17
27-Mar-17,-30.44
24-Mar-17,-32.16
23-Mar-17,-36.33
22-Mar-17,-33.86
21-Mar-17,-34.69
20-Mar-17,-34.94
17-Mar-17,-32.19
16-Mar-17,-32.65
15-Mar-17,-35.42
14-Mar-17,-34.72
13-Mar-17,-31.05
10-Mar-17,-31.15
09-Mar-17,-28.6
08-Mar-17,-24.07
07-Mar-17,-23
06-Mar-17,-21.62
03-Mar-17,-18.57
02-Mar-17,-20.05
01-Mar-17,-23.78
28-Feb-17,-24
27-Feb-17,-19.94
24-Feb-17,-14.06
23-Feb-17,-13.86
22-Feb-17,-14.22
21-Feb-17,-14.17
20-Feb-17,-14.5
17-Feb-17,-14.93
16-Feb-17,-15
15-Feb-17,-14.2
14-Feb-17,-16.25
13-Feb-17,-16.25
10-Feb-17,-16.99
09-Feb-17,-17.76
08-Feb-17,-19.5
07-Feb-17,-19.51
06-Feb-17,-18.49
03-Feb-17,-18.8
02-Feb-17,-18.75
01-Feb-17,-18
31-Jan-17,-17.75
30-Jan-17,-16.5
27-Jan-17,-17.68
26-Jan-17,-18.07
25-Jan-17,-18.01
24-Jan-17,-19.54
23-Jan-17,-21
20-Jan-17,-20.59
19-Jan-17,-22.32
18-Jan-17,-21
17-Jan-17,-22.99
16-Jan-17,-19.65
13-Jan-17,-16.85
12-Jan-17,-19
11-Jan-17,-18.98
10-Jan-17,-20.94
09-Jan-17,-19.23
06-Jan-17,-19.95
05-Jan-17,-21
04-Jan-17,-22.19
03-Jan-17,-25
02-Jan-17,-23.5
30-Dec-16,-25.53
29-Dec-16,-22
28-Dec-16,-24.01
27-Dec-16,-23.26
26-Dec-16,-22.93
23-Dec-16,-22.74
22-Dec-16,-22.14
21-Dec-16,-22.41
20-Dec-16,-22
19-Dec-16,-22.48
16-Dec-16,-21.58
15-Dec-16,-19.93
14-Dec-16,-22.14
13-Dec-16,-20.84
12-Dec-16,-21.2
09-Dec-16,-18.99
08-Dec-16,-17.16
07-Dec-16,-17.19
06-Dec-16,-17.74
05-Dec-16,-18
02-Dec-16,-18.2
01-Dec-16,-17.9
30-Nov-16,-16.01
29-Nov-16,-15
28-Nov-16,-7.88
25-Nov-16,-8
24-Nov-16,-7
23-Nov-16,-6.51
22-Nov-16,-5.45
21-Nov-16,-3.75
18-Nov-16,-2.5
17-Nov-16,-2
16-Nov-16,-1.5
15-Nov-16,-1.75
14-Nov-16,-2.25
11-Nov-16,-2.01
10-Nov-16,-2
09-Nov-16,-3.74
08-Nov-16,-3.25
07-Nov-16,-3.75
04-Nov-16,-3.76
03-Nov-16,-4
02-Nov-16,-4.26
01-Nov-16,-3.59
31-Oct-16,-3.25
28-Oct-16,-3.8
27-Oct-16,-3.25
26-Oct-16,-4.01
25-Oct-16,-4
24-Oct-16,-3.82
21-Oct-16,-3.75
20-Oct-16,-4.34
19-Oct-16,-5
18-Oct-16,-5.39
17-Oct-16,-5.13
14-Oct-16,-5.91
13-Oct-16,-5.11
12-Oct-16,-5.5
11-Oct-16,-4.68
10-Oct-16,-4.25
07-Oct-16,-3.14
06-Oct-16,-3.82
05-Oct-16,-4.68
04-Oct-16,-5.81
03-Oct-16,-8
30-Sep-16,-9.75
29-Sep-16,-4.99
28-Sep-16,-5.5
27-Sep-16,-9.99
26-Sep-16,-8.01
23-Sep-16,-5.45
22-Sep-16,-6.82
21-Sep-16,-7.12
20-Sep-16,-6.5
19-Sep-16,-6
16-Sep-16,-6.4
15-Sep-16,-5.2
14-Sep-16,-2.32
13-Sep-16,-2.89
12-Sep-16,-5.5
09-Sep-16,-5.35
08-Sep-16,-4.55
07-Sep-16,-3.58
06-Sep-16,-4.08
05-Sep-16,-4.05
02-Sep-16,-6.25
01-Sep-16,-5.35
31-Aug-16,-5.27
30-Aug-16,-5.75
29-Aug-16,-6.49
26-Aug-16,-6.5
25-Aug-16,-6.33
24-Aug-16,-5.23
23-Aug-16,-4.5
22-Aug-16,-5.01
19-Aug-16,-4.42
18-Aug-16,-4.5
17-Aug-16,-4.56
16-Aug-16,-4.51
15-Aug-16,-4.75
12-Aug-16,-3.54
11-Aug-16,-3.2
10-Aug-16,-3.41
09-Aug-16,-3.25
08-Aug-16,-3.17
05-Aug-16,-3.34
04-Aug-16,-3.5
03-Aug-16,-2.63
02-Aug-16,-1.65
01-Aug-16,-5.5
29-Jul-16,-6.8
28-Jul-16,-9.5
27-Jul-16,-7.08
26-Jul-16,-5.5
25-Jul-16,-3.5
22-Jul-16,-2
21-Jul-16,-1.4
20-Jul-16,-1.75
19-Jul-16,-1.7
18-Jul-16,-1.4
15-Jul-16,-0.5
14-Jul-16,-0.93
13-Jul-16,0.5
12-Jul-16,1.26
11-Jul-16,1.5
08-Jul-16,-0.3
07-Jul-16,-0.32
06-Jul-16,-2.5
05-Jul-16,-0.89
04-Jul-16,2.5
01-Jul-16,1.97
30-Jun-16,3
29-Jun-16,5
28-Jun-16,5
27-Jun-16,7.5
24-Jun-16,1.5
23-Jun-16,5
22-Jun-16,4.75
21-Jun-16,5
20-Jun-16,6.26
17-Jun-16,6.99
16-Jun-16,5.7
15-Jun-16,5
14-Jun-16,4.51
13-Jun-16,4.99
10-Jun-16,4.5
09-Jun-16,4.75
08-Jun-16,4.5
07-Jun-16,8.5
06-Jun-16,7.5
03-Jun-16,7.99
02-Jun-16,6.5
01-Jun-16,6
31-May-16,7
30-May-16,4.94
27-May-16,8.5
26-May-16,8.5
25-May-16,9.5
24-May-16,12.25
23-May-16,13.13
20-May-16,13.75
19-May-16,12.99
18-May-16,13.16
17-May-16,17
16-May-16,17
13-May-16,17.07
12-May-16,15.5
11-May-16,14.38
10-May-16,14.66
09-May-16,14.5
06-May-16,12.28
05-May-16,11.43
04-May-16,11.5
03-May-16,11.51
02-May-16,12.01
29-Apr-16,11.5
28-Apr-16,12.5
27-Apr-16,10.05
26-Apr-16,10.5
25-Apr-16,12.45
22-Apr-16,11.49
21-Apr-16,11.5
20-Apr-16,9.14
19-Apr-16,9.26
18-Apr-16,9.5
15-Apr-16,10.5
14-Apr-16,14
13-Apr-16,17
12-Apr-16,15.8
11-Apr-16,14.5
08-Apr-16,16
07-Apr-16,15.25
06-Apr-16,14
05-Apr-16,13.75
04-Apr-16,13.25
01-Apr-16,11.76
31-Mar-16,11
30-Mar-16,10.5
29-Mar-16,7.6
28-Mar-16,11.99
25-Mar-16,11
24-Mar-16,11.9
23-Mar-16,11.85
22-Mar-16,12.25
21-Mar-16,11.5
18-Mar-16,10
17-Mar-16,16
16-Mar-16,16.25
15-Mar-16,19
