Date,Line(QNZD1M=)
28-Mar-17,-5.24
27-Mar-17,-5.55
24-Mar-17,-5.74
23-Mar-17,-5.82
22-Mar-17,-5.75
21-Mar-17,-5.61
20-Mar-17,-6.02
17-Mar-17,-5.77
16-Mar-17,-5.95
15-Mar-17,-5.93
14-Mar-17,-6.02
13-Mar-17,-6.26
10-Mar-17,-6.69
09-Mar-17,-6.49
08-Mar-17,-5.8
07-Mar-17,-6.05
06-Mar-17,-6.55
03-Mar-17,-6.53
02-Mar-17,-6.37
01-Mar-17,-6.73
28-Feb-17,-6.85
27-Feb-17,-7.1
24-Feb-17,-7.08
23-Feb-17,-7.32
22-Feb-17,-6.65
21-Feb-17,-6.55
20-Feb-17,-6.37
17-Feb-17,-6.33
16-Feb-17,-6.42
15-Feb-17,-6.31
14-Feb-17,-6.36
13-Feb-17,-6.22
10-Feb-17,-6.14
09-Feb-17,-6.23
08-Feb-17,-6.44
07-Feb-17,-6.39
06-Feb-17,-6.38
03-Feb-17,-6.34
02-Feb-17,-6.13
01-Feb-17,-6.36
31-Jan-17,-6.24
30-Jan-17,-6.51
27-Jan-17,-6.51
26-Jan-17,-6.51
25-Jan-17,-6.54
24-Jan-17,-7.39
23-Jan-17,-7.32
20-Jan-17,-7.28
19-Jan-17,-7.17
18-Jan-17,-6.8
17-Jan-17,-6.9
16-Jan-17,-7.5
13-Jan-17,-7.06
12-Jan-17,-6.99
11-Jan-17,-6.99
10-Jan-17,-7.04
09-Jan-17,-7.45
06-Jan-17,-7.07
05-Jan-17,-6.98
04-Jan-17,-7.07
03-Jan-17,-7.31
02-Jan-17,-7.67
30-Dec-16,-7.62
29-Dec-16,-7.92
28-Dec-16,-7.75
27-Dec-16,-7.35
26-Dec-16,-7.68
23-Dec-16,-7.21
22-Dec-16,-7.55
21-Dec-16,-7.84
20-Dec-16,-7.59
19-Dec-16,-7.72
16-Dec-16,-7.25
15-Dec-16,-7.3
14-Dec-16,-7.32
13-Dec-16,-7.59
12-Dec-16,-7.62
09-Dec-16,-7.21
08-Dec-16,-7.19
07-Dec-16,-7.17
06-Dec-16,-7.53
05-Dec-16,-7.6
02-Dec-16,-7.59
01-Dec-16,-7.66
30-Nov-16,-7.49
29-Nov-16,-8.08
28-Nov-16,-8.19
25-Nov-16,-7.33
24-Nov-16,-7.25
23-Nov-16,-7.4
22-Nov-16,-8.37
21-Nov-16,-8.46
18-Nov-16,-7.89
17-Nov-16,-7.75
16-Nov-16,-8.07
15-Nov-16,-8.47
14-Nov-16,-9.11
11-Nov-16,-8.28
10-Nov-16,-8.22
09-Nov-16,-8.52
08-Nov-16,-8.41
07-Nov-16,-9.09
04-Nov-16,-8.6
03-Nov-16,-8.5
02-Nov-16,-8.49
01-Nov-16,-8.49
31-Oct-16,-8.77
28-Oct-16,-8.29
27-Oct-16,-8.24
26-Oct-16,-8.66
25-Oct-16,-8.75
24-Oct-16,-9.06
21-Oct-16,-9.49
20-Oct-16,-9.76
19-Oct-16,-9.46
18-Oct-16,-9.65
17-Oct-16,-9.52
14-Oct-16,-9.38
13-Oct-16,-9.3
12-Oct-16,-9.34
11-Oct-16,-9.43
10-Oct-16,-9.51
07-Oct-16,-10.16
06-Oct-16,-10.16
05-Oct-16,-10.15
04-Oct-16,-9.39
03-Oct-16,-9.75
30-Sep-16,-9.31
29-Sep-16,-9.38
28-Sep-16,-9.47
27-Sep-16,-9.46
26-Sep-16,-9.87
23-Sep-16,-9.2
22-Sep-16,-9.25
21-Sep-16,-9.15
20-Sep-16,-9.51
19-Sep-16,-10.08
16-Sep-16,-9.3
15-Sep-16,-9.42
14-Sep-16,-9.09
13-Sep-16,-9.23
12-Sep-16,-9.76
09-Sep-16,-9.04
