Date,Line(QNZD=)
28-Mar-17,0.703
27-Mar-17,0.7046
24-Mar-17,0.7029
23-Mar-17,0.7029
22-Mar-17,0.7044
21-Mar-17,0.7042
20-Mar-17,0.7055
17-Mar-17,0.7017
16-Mar-17,0.6987
15-Mar-17,0.7045
14-Mar-17,0.6919
13-Mar-17,0.6924
10-Mar-17,0.6922
09-Mar-17,0.6901
08-Mar-17,0.6915
07-Mar-17,0.6955
06-Mar-17,0.6994
03-Mar-17,0.7042
02-Mar-17,0.7064
01-Mar-17,0.7144
28-Feb-17,0.7192
27-Feb-17,0.7192
24-Feb-17,0.7204
23-Feb-17,0.723
22-Feb-17,0.719
21-Feb-17,0.7163
20-Feb-17,0.7191
17-Feb-17,0.7195
16-Feb-17,0.721
15-Feb-17,0.7223
14-Feb-17,0.7168
13-Feb-17,0.7177
10-Feb-17,0.72
09-Feb-17,0.7188
08-Feb-17,0.7266
07-Feb-17,0.7301
06-Feb-17,0.7321
03-Feb-17,0.7316
02-Feb-17,0.7289
01-Feb-17,0.728
31-Jan-17,0.7312
30-Jan-17,0.7285
27-Jan-17,0.7265
26-Jan-17,0.7246
25-Jan-17,0.7299
24-Jan-17,0.7247
23-Jan-17,0.7233
20-Jan-17,0.7169
19-Jan-17,0.719
18-Jan-17,0.7124
17-Jan-17,0.7215
16-Jan-17,0.7103
13-Jan-17,0.7131
12-Jan-17,0.7097
11-Jan-17,0.7056
10-Jan-17,0.699
09-Jan-17,0.7016
06-Jan-17,0.696
05-Jan-17,0.7025
04-Jan-17,0.6971
03-Jan-17,0.6917
02-Jan-17,0.6925
30-Dec-16,0.6947
29-Dec-16,0.6966
28-Dec-16,0.692
27-Dec-16,0.689
26-Dec-16,0.6902
23-Dec-16,0.6881
22-Dec-16,0.6905
21-Dec-16,0.6899
20-Dec-16,0.6916
19-Dec-16,0.6929
16-Dec-16,0.697
15-Dec-16,0.7038
14-Dec-16,0.7118
13-Dec-16,0.7203
12-Dec-16,0.7204
09-Dec-16,0.7134
08-Dec-16,0.7174
07-Dec-16,0.7165
06-Dec-16,0.712
05-Dec-16,0.7141
02-Dec-16,0.7138
01-Dec-16,0.709
30-Nov-16,0.7083
29-Nov-16,0.7126
28-Nov-16,0.7074
25-Nov-16,0.7043
24-Nov-16,0.7003
23-Nov-16,0.7012
22-Nov-16,0.7063
21-Nov-16,0.7066
18-Nov-16,0.7017
17-Nov-16,0.7026
16-Nov-16,0.707
15-Nov-16,0.7102
14-Nov-16,0.7117
11-Nov-16,0.7119
10-Nov-16,0.7213
09-Nov-16,0.728
08-Nov-16,0.7386
07-Nov-16,0.7342
04-Nov-16,0.7327
03-Nov-16,0.7336
02-Nov-16,0.7289
01-Nov-16,0.7185
31-Oct-16,0.7151
28-Oct-16,0.7163
27-Oct-16,0.7121
26-Oct-16,0.7155
25-Oct-16,0.7164
24-Oct-16,0.7139
21-Oct-16,0.7166
20-Oct-16,0.7195
19-Oct-16,0.7231
18-Oct-16,0.7191
17-Oct-16,0.7134
14-Oct-16,0.7085
13-Oct-16,0.7096
12-Oct-16,0.7062
11-Oct-16,0.7053
10-Oct-16,0.7137
07-Oct-16,0.7162
06-Oct-16,0.7166
05-Oct-16,0.7173
04-Oct-16,0.721
03-Oct-16,0.7278
30-Sep-16,0.7287
29-Sep-16,0.7254
28-Sep-16,0.7285
27-Sep-16,0.73
26-Sep-16,0.7275
23-Sep-16,0.7242
22-Sep-16,0.7315
21-Sep-16,0.7353
20-Sep-16,0.7314
19-Sep-16,0.7295
16-Sep-16,0.727
15-Sep-16,0.7316
14-Sep-16,0.7286
13-Sep-16,0.7253
12-Sep-16,0.7352
09-Sep-16,0.7328
08-Sep-16,0.7399
07-Sep-16,0.7451
06-Sep-16,0.7417
05-Sep-16,0.7305
02-Sep-16,0.7303
01-Sep-16,0.7283
31-Aug-16,0.725
30-Aug-16,0.722
29-Aug-16,0.7251
26-Aug-16,0.724
25-Aug-16,0.7301
24-Aug-16,0.7311
23-Aug-16,0.7292
22-Aug-16,0.727
19-Aug-16,0.7281
18-Aug-16,0.7294
17-Aug-16,0.7252
16-Aug-16,0.7281
15-Aug-16,0.7209
12-Aug-16,0.7197
11-Aug-16,0.7209
10-Aug-16,0.7207
09-Aug-16,0.7166
08-Aug-16,0.7139
05-Aug-16,0.7145
04-Aug-16,0.7173
03-Aug-16,0.7159
02-Aug-16,0.7243
01-Aug-16,0.7172
29-Jul-16,0.7208
28-Jul-16,0.7073
27-Jul-16,0.7076
26-Jul-16,0.7055
25-Jul-16,0.6997
22-Jul-16,0.7001
21-Jul-16,0.6996
20-Jul-16,0.7029
19-Jul-16,0.7053
18-Jul-16,0.7115
15-Jul-16,0.7111
14-Jul-16,0.7199
13-Jul-16,0.7277
12-Jul-16,0.7302
11-Jul-16,0.722
08-Jul-16,0.7308
07-Jul-16,0.7228
06-Jul-16,0.7132
05-Jul-16,0.7154
04-Jul-16,0.7228
01-Jul-16,0.7181
30-Jun-16,0.7134
29-Jun-16,0.7112
28-Jun-16,0.7048
27-Jun-16,0.6996
24-Jun-16,0.7134
23-Jun-16,0.7254
22-Jun-16,0.7165
21-Jun-16,0.7123
20-Jun-16,0.7121
17-Jun-16,0.7054
16-Jun-16,0.7046
15-Jun-16,0.7034
14-Jun-16,0.6993
13-Jun-16,0.7062
10-Jun-16,0.7059
09-Jun-16,0.7105
08-Jun-16,0.7006
07-Jun-16,0.6979
06-Jun-16,0.6924
03-Jun-16,0.6958
02-Jun-16,0.6811
01-Jun-16,0.6817
31-May-16,0.6764
30-May-16,0.6695
27-May-16,0.6698
26-May-16,0.674
25-May-16,0.674
24-May-16,0.6738
23-May-16,0.6764
20-May-16,0.6771
19-May-16,0.6743
18-May-16,0.674
17-May-16,0.6811
16-May-16,0.6791
13-May-16,0.6768
12-May-16,0.682
11-May-16,0.6819
10-May-16,0.6762
09-May-16,0.6768
06-May-16,0.684
05-May-16,0.6884
04-May-16,0.688
03-May-16,0.6914
02-May-16,0.702
29-Apr-16,0.6975
28-Apr-16,0.6963
27-Apr-16,0.6837
26-Apr-16,0.6902
25-Apr-16,0.6855
22-Apr-16,0.6853
21-Apr-16,0.6912
20-Apr-16,0.6978
19-Apr-16,0.7044
18-Apr-16,0.695
15-Apr-16,0.6922
14-Apr-16,0.6849
13-Apr-16,0.692
12-Apr-16,0.6925
11-Apr-16,0.6859
08-Apr-16,0.6806
07-Apr-16,0.6777
06-Apr-16,0.6824
05-Apr-16,0.6804
04-Apr-16,0.6835
01-Apr-16,0.6891
31-Mar-16,0.6909
30-Mar-16,0.6922
29-Mar-16,0.6851
28-Mar-16,0.6722
25-Mar-16,0.6686
24-Mar-16,0.6702
23-Mar-16,0.6707
22-Mar-16,0.6753
21-Mar-16,0.6762
18-Mar-16,0.6797
17-Mar-16,0.6852
16-Mar-16,0.6724
15-Mar-16,0.6602
14-Mar-16,0.6676
11-Mar-16,0.6754
10-Mar-16,0.6668
09-Mar-16,0.6653
08-Mar-16,0.6745
07-Mar-16,0.6801
04-Mar-16,0.6816
03-Mar-16,0.6722
02-Mar-16,0.6675
01-Mar-16,0.6629
29-Feb-16,0.6591
26-Feb-16,0.6629
25-Feb-16,0.6723
24-Feb-16,0.6659
23-Feb-16,0.6643
22-Feb-16,0.67
19-Feb-16,0.6632
18-Feb-16,0.6643
17-Feb-16,0.6633
16-Feb-16,0.6579
15-Feb-16,0.6648
12-Feb-16,0.6633
11-Feb-16,0.6717
10-Feb-16,0.6686
09-Feb-16,0.6635
08-Feb-16,0.6628
05-Feb-16,0.6631
04-Feb-16,0.6723
03-Feb-16,0.6667
02-Feb-16,0.6515
01-Feb-16,0.6547
29-Jan-16,0.6483
28-Jan-16,0.648
27-Jan-16,0.6432
26-Jan-16,0.6499
25-Jan-16,0.6454
22-Jan-16,0.6494
21-Jan-16,0.6529
20-Jan-16,0.6431
19-Jan-16,0.641
18-Jan-16,0.6452
15-Jan-16,0.6466
14-Jan-16,0.6473
13-Jan-16,0.6514
12-Jan-16,0.6538
11-Jan-16,0.656
08-Jan-16,0.6546
07-Jan-16,0.6627
06-Jan-16,0.6639
05-Jan-16,0.6706
04-Jan-16,0.6752
01-Jan-16,0.6849
31-Dec-15,0.6829
30-Dec-15,0.6842
29-Dec-15,0.6869
28-Dec-15,0.6848
25-Dec-15,0.6836
24-Dec-15,0.684
23-Dec-15,0.6795
22-Dec-15,0.6806
21-Dec-15,0.6764
18-Dec-15,0.6728
17-Dec-15,0.6701
16-Dec-15,0.6798
15-Dec-15,0.677
14-Dec-15,0.6759
11-Dec-15,0.6723
10-Dec-15,0.6754
09-Dec-15,0.672
08-Dec-15,0.6647
07-Dec-15,0.6644
04-Dec-15,0.6748
03-Dec-15,0.6688
02-Dec-15,0.664
01-Dec-15,0.6677
30-Nov-15,0.6584
27-Nov-15,0.6534
26-Nov-15,0.6571
25-Nov-15,0.6579
24-Nov-15,0.6556
23-Nov-15,0.6521
20-Nov-15,0.6567
19-Nov-15,0.6566
18-Nov-15,0.6468
17-Nov-15,0.6472
16-Nov-15,0.6494
13-Nov-15,0.6548
12-Nov-15,0.6543
11-Nov-15,0.6559
10-Nov-15,0.6528
09-Nov-15,0.6533
06-Nov-15,0.6525
05-Nov-15,0.6613
04-Nov-15,0.6594
03-Nov-15,0.6664
02-Nov-15,0.6745
30-Oct-15,0.6778
29-Oct-15,0.6694
28-Oct-15,0.6701
27-Oct-15,0.6765
26-Oct-15,0.6788
23-Oct-15,0.6754
22-Oct-15,0.6793
21-Oct-15,0.6707
20-Oct-15,0.6753
19-Oct-15,0.6793
16-Oct-15,0.6812
15-Oct-15,0.6852
14-Oct-15,0.6789
13-Oct-15,0.6642
12-Oct-15,0.6718
09-Oct-15,0.6692
08-Oct-15,0.6668
07-Oct-15,0.661
06-Oct-15,0.6543
05-Oct-15,0.649
02-Oct-15,0.6445
01-Oct-15,0.6399
30-Sep-15,0.6395
29-Sep-15,0.6347
28-Sep-15,0.6329
25-Sep-15,0.6386
24-Sep-15,0.6357
23-Sep-15,0.6274
22-Sep-15,0.6294
21-Sep-15,0.6319
18-Sep-15,0.6397
17-Sep-15,0.635
16-Sep-15,0.637
15-Sep-15,0.6355
14-Sep-15,0.6331
11-Sep-15,0.6317
10-Sep-15,0.6291
09-Sep-15,0.6397
08-Sep-15,0.6346
07-Sep-15,0.626
04-Sep-15,0.6284
03-Sep-15,0.64
02-Sep-15,0.635
01-Sep-15,0.6334
31-Aug-15,0.634
28-Aug-15,0.6464
27-Aug-15,0.6469
26-Aug-15,0.6438
25-Aug-15,0.6473
24-Aug-15,0.648
21-Aug-15,0.6686
20-Aug-15,0.6631
19-Aug-15,0.6602
18-Aug-15,0.6601
17-Aug-15,0.6573
14-Aug-15,0.654
13-Aug-15,0.6572
12-Aug-15,0.662
11-Aug-15,0.6536
10-Aug-15,0.6621
07-Aug-15,0.6623
06-Aug-15,0.6553
05-Aug-15,0.6511
04-Aug-15,0.6539
03-Aug-15,0.6563
31-Jul-15,0.6593
30-Jul-15,0.6603
29-Jul-15,0.6666
28-Jul-15,0.6692
27-Jul-15,0.6605
24-Jul-15,0.6578
23-Jul-15,0.6608
22-Jul-15,0.6571
21-Jul-15,0.6626
20-Jul-15,0.6566
17-Jul-15,0.6513
16-Jul-15,0.6514
15-Jul-15,0.659
14-Jul-15,0.6716
13-Jul-15,0.6694
10-Jul-15,0.6726
09-Jul-15,0.6744
08-Jul-15,0.673
