Date,Line(QPLN=)
28-Mar-17,3.9101
27-Mar-17,3.908
24-Mar-17,3.9468
23-Mar-17,3.9553
22-Mar-17,3.9639
21-Mar-17,3.9561
20-Mar-17,3.9701
17-Mar-17,3.988
16-Mar-17,3.9999
15-Mar-17,4.0178
14-Mar-17,4.0696
13-Mar-17,4.0626
10-Mar-17,4.0591
09-Mar-17,4.0899
08-Mar-17,4.0884
07-Mar-17,4.074
06-Mar-17,4.069
03-Mar-17,4.0531
02-Mar-17,4.0923
01-Mar-17,4.0611
28-Feb-17,4.0719
27-Feb-17,4.074
24-Feb-17,4.086
23-Feb-17,4.0655
22-Feb-17,4.072
21-Feb-17,4.0775
20-Feb-17,4.0682
17-Feb-17,4.079
16-Feb-17,4.0461
15-Feb-17,4.0664
14-Feb-17,4.0691
13-Feb-17,4.0674
10-Feb-17,4.038
09-Feb-17,4.0477
08-Feb-17,4.0287
07-Feb-17,4.0322
06-Feb-17,3.9981
03-Feb-17,3.99
02-Feb-17,4.0123
01-Feb-17,3.9972
31-Jan-17,4.0027
30-Jan-17,4.0545
27-Jan-17,4.0495
26-Jan-17,4.0695
25-Jan-17,4.0498
24-Jan-17,4.0721
23-Jan-17,4.0608
20-Jan-17,4.086
19-Jan-17,4.1006
18-Jan-17,4.1078
17-Jan-17,4.0744
16-Jan-17,4.1266
13-Jan-17,4.1225
12-Jan-17,4.1232
11-Jan-17,4.1317
10-Jan-17,4.1442
09-Jan-17,4.1429
06-Jan-17,4.136
05-Jan-17,4.1139
04-Jan-17,4.1645
03-Jan-17,4.2204
02-Jan-17,4.2231
30-Dec-16,4.184
29-Dec-16,4.2008
28-Dec-16,4.2297
27-Dec-16,4.2085
26-Dec-16,4.2162
23-Dec-16,4.2153
22-Dec-16,4.234
21-Dec-16,4.23
20-Dec-16,4.247
19-Dec-16,4.2528
16-Dec-16,4.2285
15-Dec-16,4.2543
14-Dec-16,4.2105
13-Dec-16,4.1645
12-Dec-16,4.1862
09-Dec-16,4.2135
08-Dec-16,4.1825
07-Dec-16,4.1212
06-Dec-16,4.1588
05-Dec-16,4.1796
02-Dec-16,4.2032
01-Dec-16,4.2104
30-Nov-16,4.2059
29-Nov-16,4.1659
28-Nov-16,4.1657
25-Nov-16,4.1716
24-Nov-16,4.1888
23-Nov-16,4.1994
22-Nov-16,4.1572
21-Nov-16,4.167
18-Nov-16,4.193
17-Nov-16,4.1737
16-Nov-16,4.1673
15-Nov-16,4.1078
14-Nov-16,4.1192
11-Nov-16,4.0762
10-Nov-16,4.0119
09-Nov-16,3.9817
08-Nov-16,3.9279
07-Nov-16,3.9204
04-Nov-16,3.8848
03-Nov-16,3.8875
02-Nov-16,3.8968
01-Nov-16,3.893
31-Oct-16,3.9217
28-Oct-16,3.9488
27-Oct-16,3.9803
26-Oct-16,3.9707
25-Oct-16,3.965
24-Oct-16,3.9664
21-Oct-16,3.9764
20-Oct-16,3.9533
19-Oct-16,3.928
18-Oct-16,3.9291
17-Oct-16,3.929
14-Oct-16,3.9301
13-Oct-16,3.8841
12-Oct-16,3.906
11-Oct-16,3.8755
10-Oct-16,3.8316
07-Oct-16,3.8203
06-Oct-16,3.8368
05-Oct-16,3.8383
04-Oct-16,3.8451
03-Oct-16,3.8323
30-Sep-16,3.822
29-Sep-16,3.8346
28-Sep-16,3.83
27-Sep-16,3.8182
26-Sep-16,3.8234
23-Sep-16,3.8316
22-Sep-16,3.8195
21-Sep-16,3.8373
