Date,Line(QSEK1M=)
28-Mar-17,-134.84
27-Mar-17,-140.78
24-Mar-17,-152.9
23-Mar-17,-158.78
22-Mar-17,-156.6
21-Mar-17,-160.5
20-Mar-17,-169.16
17-Mar-17,-160.2
16-Mar-17,-152.71
15-Mar-17,-158.66
14-Mar-17,-159.1
13-Mar-17,-155.4
10-Mar-17,-161.27
09-Mar-17,-147.64
08-Mar-17,-147
07-Mar-17,-150.65
06-Mar-17,-158.2
03-Mar-17,-147.33
02-Mar-17,-151.95
01-Mar-17,-151.1
28-Feb-17,-152.49
27-Feb-17,-157.04
24-Feb-17,-116.22
23-Feb-17,-107.65
22-Feb-17,-108.8
21-Feb-17,-104.16
20-Feb-17,-103
17-Feb-17,-102.5
16-Feb-17,-101.75
15-Feb-17,-101.46
14-Feb-17,-100.43
13-Feb-17,-102.45
10-Feb-17,-101.94
09-Feb-17,-99.58
08-Feb-17,-102.82
07-Feb-17,-101.9
06-Feb-17,-106.19
03-Feb-17,-105.05
02-Feb-17,-104.5
01-Feb-17,-106.56
31-Jan-17,-104.55
30-Jan-17,-108.99
27-Jan-17,-114.09
26-Jan-17,-120.8
25-Jan-17,-126.7
24-Jan-17,-132.65
23-Jan-17,-140.01
20-Jan-17,-129.7
19-Jan-17,-132.47
18-Jan-17,-131.7
17-Jan-17,-131.38
16-Jan-17,-135.5
13-Jan-17,-121.08
12-Jan-17,-123.6
11-Jan-17,-131.4
10-Jan-17,-139.21
09-Jan-17,-145.5
06-Jan-17,-140.6
05-Jan-17,-141.01
04-Jan-17,-140.1
03-Jan-17,-158.4
02-Jan-17,-165
30-Dec-16,-188.47
29-Dec-16,-161.66
28-Dec-16,-245.93
27-Dec-16,-229
26-Dec-16,-230.5
23-Dec-16,-229.83
22-Dec-16,-215.75
21-Dec-16,-222.49
20-Dec-16,-230.5
19-Dec-16,-231.93
16-Dec-16,-217
15-Dec-16,-215.33
14-Dec-16,-209
13-Dec-16,-213.9
12-Dec-16,-218
09-Dec-16,-200.81
08-Dec-16,-195.98
07-Dec-16,-199.2
06-Dec-16,-208.5
05-Dec-16,-211.33
02-Dec-16,-213.9
01-Dec-16,-194.53
30-Nov-16,-199.5
29-Nov-16,-203.7
28-Nov-16,-120.19
25-Nov-16,-117.99
24-Nov-16,-117.95
23-Nov-16,-123
22-Nov-16,-122.86
21-Nov-16,-113.11
18-Nov-16,-112.6
17-Nov-16,-112.1
16-Nov-16,-113.37
15-Nov-16,-117.58
14-Nov-16,-107.61
11-Nov-16,-102.23
10-Nov-16,-102
09-Nov-16,-101.33
08-Nov-16,-112.93
07-Nov-16,-113.21
04-Nov-16,-113.45
03-Nov-16,-111.38
02-Nov-16,-115.41
01-Nov-16,-120.75
31-Oct-16,-120.5
28-Oct-16,-117.72
27-Oct-16,-117.72
26-Oct-16,-118.92
25-Oct-16,-125.6
24-Oct-16,-129.6
21-Oct-16,-119.8
20-Oct-16,-124.18
19-Oct-16,-120.8
18-Oct-16,-125.6
17-Oct-16,-128.26
14-Oct-16,-118.76
13-Oct-16,-116.2
12-Oct-16,-112.75
11-Oct-16,-116.95
10-Oct-16,-124.25
07-Oct-16,-130.23
06-Oct-16,-133.78
05-Oct-16,-122.68
04-Oct-16,-134.23
03-Oct-16,-138.15
30-Sep-16,-133.4
29-Sep-16,-118.38
28-Sep-16,-137.85
27-Sep-16,-144.88
26-Sep-16,-130.82
23-Sep-16,-127.54
22-Sep-16,-130.66
21-Sep-16,-135.6
20-Sep-16,-139.5
19-Sep-16,-124.6
16-Sep-16,-125.3
15-Sep-16,-119.6
14-Sep-16,-121.39
13-Sep-16,-121.5
12-Sep-16,-117.35
09-Sep-16,-119.55
08-Sep-16,-119.5
07-Sep-16,-128.53
06-Sep-16,-135.38
05-Sep-16,-126.55
02-Sep-16,-126.3
01-Sep-16,-127.91
31-Aug-16,-131.64
30-Aug-16,-141.25
29-Aug-16,-113.76
26-Aug-16,-114.25
25-Aug-16,-113.2
24-Aug-16,-112.51
23-Aug-16,-115.2
22-Aug-16,-116.43
19-Aug-16,-109.35
18-Aug-16,-110.5
17-Aug-16,-112.27
16-Aug-16,-116
15-Aug-16,-120.25
12-Aug-16,-114.64
11-Aug-16,-115.45
10-Aug-16,-114.49
09-Aug-16,-120.8
08-Aug-16,-126.45
05-Aug-16,-119.5
04-Aug-16,-120.8
03-Aug-16,-128.2
02-Aug-16,-132.95
01-Aug-16,-137.2
29-Jul-16,-124.45
28-Jul-16,-131.5
27-Jul-16,-140.45
26-Jul-16,-134.02
25-Jul-16,-129.99
22-Jul-16,-118.98
21-Jul-16,-118.22
20-Jul-16,-116.24
19-Jul-16,-120.13
18-Jul-16,-123.95
15-Jul-16,-114.8
14-Jul-16,-113.05
13-Jul-16,-112.95
12-Jul-16,-117.13
11-Jul-16,-121
08-Jul-16,-115.5
07-Jul-16,-118.25
06-Jul-16,-120.87
05-Jul-16,-118.49
04-Jul-16,-118
01-Jul-16,-111.02
30-Jun-16,-113.53
29-Jun-16,-111.99
28-Jun-16,-116.5
27-Jun-16,-119.51
24-Jun-16,-122.77
23-Jun-16,-107.9
22-Jun-16,-109.56
21-Jun-16,-115.48
20-Jun-16,-104.67
17-Jun-16,-105.3
16-Jun-16,-105.4
15-Jun-16,-105.75
14-Jun-16,-106.73
13-Jun-16,-99
10-Jun-16,-100
09-Jun-16,-99.83
08-Jun-16,-101
07-Jun-16,-105.51
06-Jun-16,-99.01
03-Jun-16,-99.34
02-Jun-16,-102.67
01-Jun-16,-108.77
31-May-16,-112.5
30-May-16,-103.51
27-May-16,-91.75
26-May-16,-91.02
25-May-16,-93.5
24-May-16,-95.76
23-May-16,-98.13
20-May-16,-100.29
19-May-16,-91.5
18-May-16,-91.38
17-May-16,-93.5
16-May-16,-96.1
13-May-16,-89.51
12-May-16,-88.78
11-May-16,-87.77
10-May-16,-90.25
09-May-16,-94.25
06-May-16,-88.22
