Date,Line(QSEK=)
28-Mar-17,8.7985
27-Mar-17,8.7877
24-Mar-17,8.8144
23-Mar-17,8.8282
22-Mar-17,8.7994
21-Mar-17,8.7964
20-Mar-17,8.8223
17-Mar-17,8.8332
16-Mar-17,8.8192
15-Mar-17,8.8626
14-Mar-17,8.9704
13-Mar-17,8.9434
10-Mar-17,9.0032
09-Mar-17,9.0458
08-Mar-17,9.0549
07-Mar-17,9.0112
06-Mar-17,9.0192
03-Mar-17,8.9815
02-Mar-17,9.0847
01-Mar-17,9.0492
28-Feb-17,9.0367
27-Feb-17,9.0631
24-Feb-17,9.0395
23-Feb-17,8.9923
22-Feb-17,8.9758
21-Feb-17,8.9761
20-Feb-17,8.9351
17-Feb-17,8.9105
16-Feb-17,8.8604
15-Feb-17,8.9197
14-Feb-17,8.9306
13-Feb-17,8.941
10-Feb-17,8.9223
09-Feb-17,8.9055
08-Feb-17,8.836
07-Feb-17,8.8756
06-Feb-17,8.8238
03-Feb-17,8.7627
02-Feb-17,8.7521
01-Feb-17,8.75
31-Jan-17,8.7419
30-Jan-17,8.8323
27-Jan-17,8.8515
26-Jan-17,8.84
25-Jan-17,8.8196
24-Jan-17,8.8478
23-Jan-17,8.8275
20-Jan-17,8.8875
19-Jan-17,8.9504
18-Jan-17,8.9532
17-Jan-17,8.8837
16-Jan-17,8.9523
13-Jan-17,8.9045
12-Jan-17,8.9525
11-Jan-17,9.027
10-Jan-17,9.0831
09-Jan-17,9.0461
06-Jan-17,9.0655
05-Jan-17,8.9925
04-Jan-17,9.1053
03-Jan-17,9.1645
02-Jan-17,9.1431
30-Dec-16,9.1092
29-Dec-16,9.1205
28-Dec-16,9.2077
27-Dec-16,9.2275
26-Dec-16,9.2061
23-Dec-16,9.2202
22-Dec-16,9.225
21-Dec-16,9.2328
20-Dec-16,9.3495
19-Dec-16,9.3891
16-Dec-16,9.3578
15-Dec-16,9.409
14-Dec-16,9.258
13-Dec-16,9.1656
12-Dec-16,9.1665
09-Dec-16,9.184
08-Dec-16,9.1267
07-Dec-16,9.0719
06-Dec-16,9.1276
05-Dec-16,9.1185
02-Dec-16,9.1885
01-Dec-16,9.2203
30-Nov-16,9.2255
29-Nov-16,9.1785
28-Nov-16,9.1993
25-Nov-16,9.242
24-Nov-16,9.25
23-Nov-16,9.28
22-Nov-16,9.2167
21-Nov-16,9.2187
18-Nov-16,9.2638
17-Nov-16,9.2364
16-Nov-16,9.1991
15-Nov-16,9.1876
14-Nov-16,9.1564
11-Nov-16,9.0927
10-Nov-16,9.0401
09-Nov-16,9.0646
08-Nov-16,8.9915
07-Nov-16,9.0239
04-Nov-16,8.9485
03-Nov-16,8.9687
02-Nov-16,8.9218
01-Nov-16,8.9631
31-Oct-16,9.0321
28-Oct-16,9.0131
27-Oct-16,9.0813
26-Oct-16,8.9093
25-Oct-16,8.9274
24-Oct-16,8.9107
21-Oct-16,8.9196
20-Oct-16,8.8718
19-Oct-16,8.8356
18-Oct-16,8.8274
17-Oct-16,8.8118
14-Oct-16,8.8395
13-Oct-16,8.7911
12-Oct-16,8.8425
11-Oct-16,8.8197
10-Oct-16,8.6534
07-Oct-16,8.6246
06-Oct-16,8.6323
05-Oct-16,8.5892
04-Oct-16,8.6012
03-Oct-16,8.5658
30-Sep-16,8.5732
29-Sep-16,8.573
28-Sep-16,8.5632
27-Sep-16,8.5978
26-Sep-16,8.5326
23-Sep-16,8.5418
