Date,Line(QSGD1M=)
28-Mar-17,-3.54
27-Mar-17,-4.01
24-Mar-17,-3.5
23-Mar-17,-3.75
22-Mar-17,-3.75
21-Mar-17,-4
20-Mar-17,-4.01
17-Mar-17,-3.85
16-Mar-17,-4.63
15-Mar-17,-3
14-Mar-17,-3.2
13-Mar-17,-3.89
10-Mar-17,-2.5
09-Mar-17,-2.88
08-Mar-17,-2.25
07-Mar-17,-2.95
06-Mar-17,-2.5
03-Mar-17,-2.75
02-Mar-17,-3
01-Mar-17,-2.88
28-Feb-17,-2.64
27-Feb-17,-2.38
24-Feb-17,-2.63
23-Feb-17,-3.26
22-Feb-17,-1.5
21-Feb-17,-1.75
20-Feb-17,-2
17-Feb-17,-2.36
16-Feb-17,-2.37
15-Feb-17,-3.01
14-Feb-17,-3.01
13-Feb-17,-2.5
10-Feb-17,-1.18
09-Feb-17,-2.5
08-Feb-17,-2.25
07-Feb-17,-3.45
06-Feb-17,-3.5
03-Feb-17,-4.25
02-Feb-17,-4
01-Feb-17,-4.25
31-Jan-17,-3
30-Jan-17,-2.75
27-Jan-17,-2.25
26-Jan-17,-2.35
25-Jan-17,-2.75
24-Jan-17,-3.5
23-Jan-17,-4
20-Jan-17,-3.75
19-Jan-17,-3.13
18-Jan-17,-3.38
17-Jan-17,-4
16-Jan-17,-2
13-Jan-17,-1.5
12-Jan-17,-1.5
11-Jan-17,-3
10-Jan-17,-3.25
09-Jan-17,-2
06-Jan-17,-1.5
05-Jan-17,-0.65
04-Jan-17,0.75
03-Jan-17,3
02-Jan-17,3.5
30-Dec-16,3.5
29-Dec-16,3.9
28-Dec-16,4.25
27-Dec-16,-1
26-Dec-16,0
23-Dec-16,0
22-Dec-16,4.5
21-Dec-16,3.01
20-Dec-16,2.76
19-Dec-16,4.26
16-Dec-16,1.76
15-Dec-16,0.75
14-Dec-16,0.35
13-Dec-16,-1
12-Dec-16,-0.5
09-Dec-16,-1.77
08-Dec-16,-1.88
07-Dec-16,-3
06-Dec-16,-1.26
