Date,Line(QSGD=)
28-Mar-17,1.3946
27-Mar-17,1.3935
24-Mar-17,1.399
23-Mar-17,1.3994
22-Mar-17,1.3978
21-Mar-17,1.3995
20-Mar-17,1.3968
17-Mar-17,1.4021
16-Mar-17,1.4013
15-Mar-17,1.4013
14-Mar-17,1.4156
13-Mar-17,1.4143
10-Mar-17,1.4122
09-Mar-17,1.4206
08-Mar-17,1.4183
07-Mar-17,1.4111
06-Mar-17,1.4123
03-Mar-17,1.41
02-Mar-17,1.4129
01-Mar-17,1.409
28-Feb-17,1.4034
27-Feb-17,1.4043
24-Feb-17,1.405
23-Feb-17,1.4064
22-Feb-17,1.4125
21-Feb-17,1.4204
20-Feb-17,1.418
17-Feb-17,1.4188
16-Feb-17,1.4165
15-Feb-17,1.4191
14-Feb-17,1.421
13-Feb-17,1.4243
10-Feb-17,1.422
09-Feb-17,1.4207
08-Feb-17,1.4166
07-Feb-17,1.4181
06-Feb-17,1.4084
03-Feb-17,1.4075
02-Feb-17,1.4111
01-Feb-17,1.4129
31-Jan-17,1.41
30-Jan-17,1.4212
27-Jan-17,1.4318
26-Jan-17,1.4267
25-Jan-17,1.4131
24-Jan-17,1.4215
23-Jan-17,1.4178
20-Jan-17,1.4254
19-Jan-17,1.4259
18-Jan-17,1.4297
17-Jan-17,1.4154
16-Jan-17,1.4306
13-Jan-17,1.4269
12-Jan-17,1.4269
11-Jan-17,1.4269
10-Jan-17,1.4363
09-Jan-17,1.4363
06-Jan-17,1.4396
05-Jan-17,1.4284
04-Jan-17,1.44
03-Jan-17,1.4503
02-Jan-17,1.4508
30-Dec-16,1.4483
29-Dec-16,1.4483
28-Dec-16,1.4505
27-Dec-16,1.4495
26-Dec-16,1.4475
23-Dec-16,1.446
22-Dec-16,1.4512
21-Dec-16,1.4452
20-Dec-16,1.4461
19-Dec-16,1.4492
16-Dec-16,1.4454
15-Dec-16,1.4425
14-Dec-16,1.4372
13-Dec-16,1.4241
12-Dec-16,1.4234
09-Dec-16,1.4307
08-Dec-16,1.423
07-Dec-16,1.4169
06-Dec-16,1.4208
05-Dec-16,1.4188
02-Dec-16,1.4195
01-Dec-16,1.4262
30-Nov-16,1.4337
29-Nov-16,1.4251
28-Nov-16,1.4241
25-Nov-16,1.4292
24-Nov-16,1.4324
23-Nov-16,1.432
22-Nov-16,1.4238
21-Nov-16,1.424
18-Nov-16,1.4258
17-Nov-16,1.4209
16-Nov-16,1.4151
15-Nov-16,1.4134
14-Nov-16,1.4149
11-Nov-16,1.4127
10-Nov-16,1.4115
09-Nov-16,1.3991
08-Nov-16,1.3865
07-Nov-16,1.3894
04-Nov-16,1.3834
03-Nov-16,1.3839
02-Nov-16,1.3845
01-Nov-16,1.3886
31-Oct-16,1.391
28-Oct-16,1.3921
27-Oct-16,1.3949
26-Oct-16,1.3909
25-Oct-16,1.3898
24-Oct-16,1.3934
21-Oct-16,1.394
20-Oct-16,1.3921
19-Oct-16,1.3868
18-Oct-16,1.3857
17-Oct-16,1.3894
14-Oct-16,1.3904
13-Oct-16,1.3815
12-Oct-16,1.3835
11-Oct-16,1.3795
10-Oct-16,1.3752
07-Oct-16,1.3733
