Date,Line(QTRY=)
28-Mar-17,3.6486
27-Mar-17,3.6166
24-Mar-17,3.6108
23-Mar-17,3.6348
22-Mar-17,3.6184
21-Mar-17,3.6329
20-Mar-17,3.616
17-Mar-17,3.6344
16-Mar-17,3.6256
15-Mar-17,3.6754
14-Mar-17,3.7426
13-Mar-17,3.7418
10-Mar-17,3.7299
09-Mar-17,3.7747
08-Mar-17,3.7467
07-Mar-17,3.6807
06-Mar-17,3.7133
03-Mar-17,3.703
02-Mar-17,3.728
01-Mar-17,3.6543
28-Feb-17,3.6472
27-Feb-17,3.6072
24-Feb-17,3.607
23-Feb-17,3.5691
22-Feb-17,3.5802
21-Feb-17,3.6203
20-Feb-17,3.6245
17-Feb-17,3.629
16-Feb-17,3.6666
15-Feb-17,3.6601
14-Feb-17,3.6503
13-Feb-17,3.6717
10-Feb-17,3.6953
09-Feb-17,3.6831
08-Feb-17,3.7178
07-Feb-17,3.7451
06-Feb-17,3.6839
03-Feb-17,3.6976
02-Feb-17,3.7371
01-Feb-17,3.7705
31-Jan-17,3.7734
30-Jan-17,3.7818
27-Jan-17,3.8775
26-Jan-17,3.844
25-Jan-17,3.8313
24-Jan-17,3.7833
23-Jan-17,3.7573
20-Jan-17,3.7655
19-Jan-17,3.8273
18-Jan-17,3.7966
17-Jan-17,3.761
16-Jan-17,3.8042
13-Jan-17,3.723
12-Jan-17,3.7597
11-Jan-17,3.8648
10-Jan-17,3.7885
09-Jan-17,3.7129
06-Jan-17,3.6445
05-Jan-17,3.5927
04-Jan-17,3.5713
03-Jan-17,3.5944
02-Jan-17,3.5445
30-Dec-16,3.5277
29-Dec-16,3.523
28-Dec-16,3.54
27-Dec-16,3.5214
26-Dec-16,3.5118
23-Dec-16,3.5169
22-Dec-16,3.5114
21-Dec-16,3.5089
20-Dec-16,3.5275
19-Dec-16,3.5331
16-Dec-16,3.5068
15-Dec-16,3.5119
14-Dec-16,3.5323
13-Dec-16,3.4899
12-Dec-16,3.4688
09-Dec-16,3.4869
08-Dec-16,3.4434
07-Dec-16,3.3902
06-Dec-16,3.4456
05-Dec-16,3.5231
02-Dec-16,3.519
01-Dec-16,3.5037
30-Nov-16,3.437
29-Nov-16,3.4088
28-Nov-16,3.4148
25-Nov-16,3.4468
24-Nov-16,3.4456
23-Nov-16,3.3941
22-Nov-16,3.3844
21-Nov-16,3.3616
18-Nov-16,3.3753
17-Nov-16,3.3706
16-Nov-16,3.3234
