Date,Line(QTWD=)
28 March 2017,30.185
27 March 2017,30.245
24 March 2017,30.369
23 March 2017,30.477
22 March 2017,30.495
21 March 2017,30.511
20 March 2017,30.383
17 March 2017,30.533
16 March 2017,30.504
15 March 2017,30.501
14 March 2017,30.963
13 March 2017,30.933
10 March 2017,31.075
09 March 2017,31.023
08 March 2017,30.925
07 March 2017,30.885
06 March 2017,30.981
03 March 2017,30.921
02 March 2017,30.913
01 March 2017,30.771
28 February 2017,30.656
27 February 2017,30.656
24 February 2017,30.655
23 February 2017,30.75
22 February 2017,30.783
21 February 2017,30.793
20 February 2017,30.799
17 February 2017,30.896
16 February 2017,30.795
15 February 2017,30.761
14 February 2017,30.77
13 February 2017,30.96
10 February 2017,30.969
09 February 2017,31.045
08 February 2017,31.1
07 February 2017,31.043
06 February 2017,30.87
03 February 2017,30.827
02 February 2017,31.095
01 February 2017,31.279
31 January 2017,31.167
30 January 2017,31.36
27 January 2017,31.555
26 January 2017,31.491
25 January 2017,31.287
24 January 2017,31.389
23 January 2017,31.316
20 January 2017,31.515
19 January 2017,31.58
18 January 2017,31.705
17 January 2017,31.405
16 January 2017,31.705
13 January 2017,31.57
12 January 2017,31.601
11 January 2017,31.746
10 January 2017,31.945
09 January 2017,32.098
06 January 2017,32.01
05 January 2017,31.805
04 January 2017,32.225
03 January 2017,32.305
02 January 2017,32.365
30 December 2016,32.455
29 December 2016,32.295
28 December 2016,32.426
27 December 2016,32.281
26 December 2016,32.221
23 December 2016,32.175
22 December 2016,32.169
21 December 2016,32.03
20 December 2016,32.04
19 December 2016,31.98
16 December 2016,32.026
15 December 2016,31.92
14 December 2016,31.922
13 December 2016,31.765
12 December 2016,31.805
09 December 2016,31.801
08 December 2016,31.733
07 December 2016,31.719
06 December 2016,31.943
05 December 2016,32.035
02 December 2016,31.867
01 December 2016,31.891
30 November 2016,31.899
29 November 2016,31.813
28 November 2016,31.795
25 November 2016,31.846
24 November 2016,31.919
23 November 2016,31.921
22 November 2016,31.779
21 November 2016,31.985
18 November 2016,32.043
17 November 2016,31.959
16 November 2016,31.815
15 November 2016,31.849
14 November 2016,32.028
11 November 2016,31.926
10 November 2016,31.716
09 November 2016,31.636
08 November 2016,31.303
07 November 2016,31.48
04 November 2016,31.473
03 November 2016,31.492
02 November 2016,31.495
01 November 2016,31.563
31 October 2016,31.52
28 October 2016,31.632
27 October 2016,31.739
26 October 2016,31.543
25 October 2016,31.507
24 October 2016,31.683
21 October 2016,31.76
20 October 2016,31.588
19 October 2016,31.467
18 October 2016,31.537
17 October 2016,31.787
14 October 2016,31.709
13 October 2016,31.731
12 October 2016,31.626
11 October 2016,31.575
10 October 2016,31.457
07 October 2016,31.453
06 October 2016,31.473
05 October 2016,31.453
04 October 2016,31.475
03 October 2016,31.337
30 September 2016,31.325
29 September 2016,31.421
28 September 2016,31.377
27 September 2016,31.405
26 September 2016,31.443
23 September 2016,31.326
22 September 2016,31.33
21 September 2016,31.153
20 September 2016,31.329
19 September 2016,31.423
16 September 2016,31.695
15 September 2016,31.638
14 September 2016,31.693
13 September 2016,31.848
12 September 2016,31.655
09 September 2016,31.642
08 September 2016,31.319
07 September 2016,31.245
06 September 2016,31.153
05 September 2016,31.401
02 September 2016,31.635
01 September 2016,31.711
31 August 2016,31.737
30 August 2016,31.747
29 August 2016,31.689
26 August 2016,31.761
25 August 2016,31.666
24 August 2016,31.762
23 August 2016,31.827
22 August 2016,31.801
19 August 2016,31.617
18 August 2016,31.419
17 August 2016,31.414
16 August 2016,31.297
15 August 2016,31.327
12 August 2016,31.424
11 August 2016,31.315
10 August 2016,31.056
09 August 2016,31.36
08 August 2016,31.425
05 August 2016,31.563
04 August 2016,31.68
03 August 2016,31.685
02 August 2016,31.648
01 August 2016,31.544
29 July 2016,31.823
28 July 2016,31.977
27 July 2016,32.014
26 July 2016,32.103
25 July 2016,32.191
22 July 2016,31.997
21 July 2016,32.03
20 July 2016,32.062
19 July 2016,32.022
18 July 2016,31.935
15 July 2016,31.905
14 July 2016,31.998
13 July 2016,32.183
12 July 2016,32.122
11 July 2016,32.199
08 July 2016,32.257
07 July 2016,32.353
06 July 2016,32.372
05 July 2016,32.349
04 July 2016,32.207
01 July 2016,32.229
30 June 2016,32.217
29 June 2016,32.254
28 June 2016,32.379
27 June 2016,32.554
24 June 2016,32.47
23 June 2016,31.917
22 June 2016,32.122
21 June 2016,32.164
20 June 2016,32.245
17 June 2016,32.342
16 June 2016,32.365
15 June 2016,32.369
14 June 2016,32.421
13 June 2016,32.402
10 June 2016,32.287
09 June 2016,32.239
08 June 2016,32.155
07 June 2016,32.155
06 June 2016,32.264
03 June 2016,32.275
02 June 2016,32.61
01 June 2016,32.611
31 May 2016,32.587
30 May 2016,32.625
27 May 2016,32.578
26 May 2016,32.502
25 May 2016,32.577
24 May 2016,32.649
23 May 2016,32.617
20 May 2016,32.703
19 May 2016,32.765
18 May 2016,32.8
17 May 2016,32.595
16 May 2016,32.67
13 May 2016,32.673
12 May 2016,32.61
11 May 2016,32.508
10 May 2016,32.529
09 May 2016,32.587
06 May 2016,32.405
05 May 2016,32.411
04 May 2016,32.381
03 May 2016,32.34
02 May 2016,32.252
29 April 2016,32.291
28 April 2016,32.211
27 April 2016,32.339
26 April 2016,32.311
25 April 2016,32.366
22 April 2016,32.395
21 April 2016,32.306
20 April 2016,32.24
19 April 2016,32.172
18 April 2016,32.315
15 April 2016,32.315
14 April 2016,32.425
13 April 2016,32.387
12 April 2016,32.327
11 April 2016,32.373
08 April 2016,32.435
07 April 2016,32.445
06 April 2016,32.41
05 April 2016,32.479
04 April 2016,32.391
01 April 2016,32.286
31 March 2016,32.207
30 March 2016,32.156
29 March 2016,32.386
28 March 2016,32.632
