Date,Line(QZAR1M=)
28 March 2017,644.36
27 March 2017,651.5
24 March 2017,649
23 March 2017,670.5
22 March 2017,663
21 March 2017,690
20 March 2017,690.5
17 March 2017,716
16 March 2017,671.5
15 March 2017,710
14 March 2017,755.5
13 March 2017,779
10 March 2017,808
09 March 2017,725.5
08 March 2017,707.25
07 March 2017,719
06 March 2017,744.5
03 March 2017,701.5
02 March 2017,711.5
01 March 2017,702.04
28 February 2017,733
27 February 2017,751.5
24 February 2017,702.5
23 February 2017,635.5
22 February 2017,639.5
21 February 2017,646.5
20 February 2017,642
17 February 2017,665.5
16 February 2017,663
15 February 2017,635.5
14 February 2017,647.5
13 February 2017,660.25
10 February 2017,663.5
09 February 2017,665
08 February 2017,664.25
07 February 2017,669.5
06 February 2017,663.5
03 February 2017,659
02 February 2017,662
01 February 2017,670
31 January 2017,662.5
30 January 2017,666
27 January 2017,668
26 January 2017,698
25 January 2017,746.5
24 January 2017,785
23 January 2017,830
20 January 2017,788.5
19 January 2017,786
18 January 2017,807
17 January 2017,819.25
16 January 2017,869.75
13 January 2017,784
12 January 2017,790.5
11 January 2017,797
10 January 2017,819
09 January 2017,839
06 January 2017,803
05 January 2017,796.5
04 January 2017,794.5
03 January 2017,822.5
02 January 2017,848.5
30 December 2016,848.5
29 December 2016,791
28 December 2016,833.5
27 December 2016,829.51
26 December 2016,843.5
23 December 2016,834.99
22 December 2016,910.5
21 December 2016,829.19
20 December 2016,875.5
19 December 2016,898
16 December 2016,844
15 December 2016,843
14 December 2016,836
13 December 2016,877.5
12 December 2016,911.5
09 December 2016,841.32
08 December 2016,845
07 December 2016,837.75
06 December 2016,875
05 December 2016,908.5
02 December 2016,863
01 December 2016,887.75
30 November 2016,912
29 November 2016,925
28 November 2016,805.5
25 November 2016,825
24 November 2016,823.5
23 November 2016,907.5
22 November 2016,891.38
21 November 2016,838
18 November 2016,850
17 November 2016,850
16 November 2016,878.25
15 November 2016,895.5
14 November 2016,951
11 November 2016,854.5
10 November 2016,845.5
09 November 2016,801
08 November 2016,835.5
07 November 2016,800
04 November 2016,812.63
03 November 2016,805.5
02 November 2016,832.5
01 November 2016,865.5
31 October 2016,803.5
28 October 2016,830.75
27 October 2016,831
26 October 2016,863
25 October 2016,887
24 October 2016,926
21 October 2016,897.5
20 October 2016,885.5
19 October 2016,841.44
18 October 2016,866.5
17 October 2016,920
14 October 2016,883
13 October 2016,882.5
12 October 2016,871
11 October 2016,890.63
10 October 2016,866
07 October 2016,904
06 October 2016,904
05 October 2016,804.5
04 October 2016,839
03 October 2016,854
30 September 2016,811.5
29 September 2016,820
28 September 2016,806
27 September 2016,819.5
26 September 2016,796
23 September 2016,798
22 September 2016,790
21 September 2016,812.5
20 September 2016,864
19 September 2016,825.25
16 September 2016,835.63
15 September 2016,833.5
14 September 2016,866.38
13 September 2016,910
12 September 2016,838.5
09 September 2016,848.5
08 September 2016,828.5
07 September 2016,873
06 September 2016,902
05 September 2016,850.85
02 September 2016,858.5
01 September 2016,864
31 August 2016,897
30 August 2016,926.5
29 August 2016,865.5
26 August 2016,897.5
25 August 2016,876.75
24 August 2016,869
23 August 2016,872
22 August 2016,889.44
19 August 2016,823.49
18 August 2016,814.75
17 August 2016,817.5
16 August 2016,846
15 August 2016,856.57
12 August 2016,813.5
11 August 2016,812.5
10 August 2016,783
09 August 2016,823
08 August 2016,839.5
05 August 2016,883
04 August 2016,838.75
03 August 2016,884.5
02 August 2016,889.38
01 August 2016,912
29 July 2016,854
28 July 2016,874
27 July 2016,938
26 July 2016,906.8
25 July 2016,933.9
22 July 2016,879.05
21 July 2016,875
20 July 2016,882
19 July 2016,911.6
18 July 2016,931.42
15 July 2016,899
14 July 2016,874.95
13 July 2016,900.6
12 July 2016,924.85
11 July 2016,962.3
08 July 2016,916.7
07 July 2016,927.45
06 July 2016,915.85
05 July 2016,948.45
04 July 2016,966
01 July 2016,906
30 June 2016,925.2
29 June 2016,938.25
28 June 2016,901.5
27 June 2016,957.5
24 June 2016,929.9
23 June 2016,860.7
22 June 2016,912.85
21 June 2016,952
20 June 2016,899
17 June 2016,922
16 June 2016,926
15 June 2016,923.75
14 June 2016,961.51
13 June 2016,916
10 June 2016,904.75
09 June 2016,886.99
08 June 2016,907.5
07 June 2016,945.54
06 June 2016,889.38
03 June 2016,908.5
02 June 2016,953
01 June 2016,1010
31 May 2016,1043
30 May 2016,964.5
27 May 2016,962.01
26 May 2016,958
25 May 2016,1006
24 May 2016,1015.6
23 May 2016,1047
20 May 2016,971.01
19 May 2016,983.51
18 May 2016,997
17 May 2016,996
16 May 2016,1037.5
13 May 2016,949.51
12 May 2016,966
11 May 2016,951.5
10 May 2016,990
09 May 2016,1026
06 May 2016,947.54
05 May 2016,955
04 May 2016,954
03 May 2016,956
02 May 2016,946
29 April 2016,950.01
28 April 2016,901.99
27 April 2016,944
26 April 2016,937.5
25 April 2016,950
22 April 2016,862
21 April 2016,853
20 April 2016,875
19 April 2016,903
18 April 2016,854.75
15 April 2016,857.51
14 April 2016,858
13 April 2016,892
12 April 2016,934.94
11 April 2016,870.75
08 April 2016,884.49
07 April 2016,902
06 April 2016,930
05 April 2016,967
04 April 2016,878.51
01 April 2016,874.99
31 March 2016,873.75
30 March 2016,947
29 March 2016,890
28 March 2016,929.99
