Date,Line(QZAR=)
28 March 2017,12.9318
27 March 2017,12.75
24 March 2017,12.4396
23 March 2017,12.4556
22 March 2017,12.5665
21 March 2017,12.6817
20 March 2017,12.6454
17 March 2017,12.7238
16 March 2017,12.7665
15 March 2017,12.79
14 March 2017,13.1527
13 March 2017,13.145
10 March 2017,13.1628
09 March 2017,13.3358
08 March 2017,13.135
07 March 2017,12.9745
06 March 2017,13.015
03 March 2017,13.015
02 March 2017,13.1563
01 March 2017,13.0247
28 February 2017,13.1299
27 February 2017,13.0084
24 February 2017,12.96
23 February 2017,12.87
22 February 2017,12.9733
21 February 2017,13.1378
20 February 2017,13.0433
17 February 2017,13.065
16 February 2017,13.035
15 February 2017,12.916
14 February 2017,13.1064
13 February 2017,13.3365
10 February 2017,13.3588
09 February 2017,13.405
08 February 2017,13.4149
07 February 2017,13.455
06 February 2017,13.2985
03 February 2017,13.2788
02 February 2017,13.3987
01 February 2017,13.475
31 January 2017,13.4751
30 January 2017,13.5058
27 January 2017,13.47
26 January 2017,13.3552
25 January 2017,13.245
24 January 2017,13.385
23 January 2017,13.4853
20 January 2017,13.595
19 January 2017,13.5591
18 January 2017,13.6319
17 January 2017,13.4655
16 January 2017,13.6755
13 January 2017,13.505
12 January 2017,13.5065
11 January 2017,13.7443
10 January 2017,13.7414
09 January 2017,13.67
06 January 2017,13.735
05 January 2017,13.585
04 January 2017,13.615
03 January 2017,13.8313
02 January 2017,13.745
30 December 2016,13.7386
29 December 2016,13.615
28 December 2016,13.8549
27 December 2016,13.924
26 December 2016,14.0104
23 December 2016,14.0074
22 December 2016,14.036
21 December 2016,14.005
20 December 2016,13.9949
19 December 2016,14.139
16 December 2016,14.08
15 December 2016,13.969
14 December 2016,13.9333
13 December 2016,13.618
12 December 2016,13.6162
09 December 2016,13.8296
08 December 2016,13.655
07 December 2016,13.475
06 December 2016,13.6482
05 December 2016,13.7243
02 December 2016,13.8061
01 December 2016,14.105
30 November 2016,14.095
29 November 2016,13.88
28 November 2016,13.7308
25 November 2016,14.1154
24 November 2016,14.1628
23 November 2016,14.1512
22 November 2016,14.075
21 November 2016,14.25
18 November 2016,14.4755
17 November 2016,14.435
16 November 2016,14.305
15 November 2016,14.175
14 November 2016,14.4329
11 November 2016,14.384
10 November 2016,14.125
09 November 2016,13.45
08 November 2016,13.19
07 November 2016,13.3587
04 November 2016,13.575
03 November 2016,13.4648
02 November 2016,13.4633
01 November 2016,13.6075
31 October 2016,13.475
28 October 2016,13.8265
27 October 2016,13.8733
26 October 2016,13.8897
25 October 2016,13.7581
24 October 2016,13.9143
21 October 2016,13.9834
20 October 2016,13.9514
19 October 2016,13.835
18 October 2016,13.8984
17 October 2016,14.146
14 October 2016,14.3193
13 October 2016,14.255
12 October 2016,14.2291
11 October 2016,14.3759
10 October 2016,13.81
07 October 2016,13.8692
06 October 2016,13.8844
05 October 2016,13.7182
04 October 2016,13.835
03 October 2016,13.5973
30 September 2016,13.725
29 September 2016,13.895
28 September 2016,13.615
27 September 2016,13.45
26 September 2016,13.6908
23 September 2016,13.7139
22 September 2016,13.645
21 September 2016,13.5771
20 September 2016,13.915
19 September 2016,14.0157
16 September 2016,14.1831
15 September 2016,14.245
14 September 2016,14.3214
13 September 2016,14.3928
12 September 2016,14.225
09 September 2016,14.4196
08 September 2016,14.1389
07 September 2016,14.025
