Date,US 1M
01/01/1990,8.375
02/01/1990,8.375
03/01/1990,8.375
04/01/1990,8.3125
05/01/1990,8.375
08/01/1990,8.3125
09/01/1990,8.25
10/01/1990,8.25
11/01/1990,8.25
12/01/1990,8.25
15/01/1990,8.3125
16/01/1990,8.375
17/01/1990,8.375
18/01/1990,8.375
19/01/1990,8.3125
22/01/1990,8.3125
23/01/1990,8.3125
24/01/1990,8.3125
25/01/1990,8.3125
26/01/1990,8.3125
29/01/1990,8.25
30/01/1990,8.3125
31/01/1990,8.3125
01/02/1990,8.3125
02/02/1990,8.25
05/02/1990,8.4375
06/02/1990,8.375
07/02/1990,8.3125
08/02/1990,8.3125
09/02/1990,8.3125
12/02/1990,8.25
13/02/1990,8.3125
14/02/1990,8.3125
15/02/1990,8.3125
16/02/1990,8.375
19/02/1990,8.3125
20/02/1990,8.3125
21/02/1990,8.3125
22/02/1990,8.375
23/02/1990,8.3125
26/02/1990,8.375
27/02/1990,8.375
28/02/1990,8.375
01/03/1990,8.3125
02/03/1990,8.375
05/03/1990,8.4375
06/03/1990,8.375
07/03/1990,8.4375
08/03/1990,8.375
09/03/1990,8.4375
12/03/1990,8.4375
13/03/1990,8.4375
14/03/1990,8.5
15/03/1990,8.4375
16/03/1990,8.4375
19/03/1990,8.4375
20/03/1990,8.4375
21/03/1990,8.375
22/03/1990,8.4375
23/03/1990,8.375
26/03/1990,8.375
27/03/1990,8.5
28/03/1990,8.4375
29/03/1990,8.375
30/03/1990,8.375
31/03/1990,8.375
02/04/1990,8.4375
03/04/1990,8.4375
04/04/1990,8.4375
05/04/1990,8.4375
06/04/1990,8.4375
09/04/1990,8.4375
10/04/1990,8.4375
11/04/1990,8.375
12/04/1990,8.375
13/04/1990,8.375
16/04/1990,8.375
17/04/1990,8.4375
18/04/1990,8.4375
19/04/1990,8.4375
20/04/1990,8.4375
23/04/1990,8.5
24/04/1990,8.5
25/04/1990,8.625
26/04/1990,8.5
27/04/1990,8.5
30/04/1990,8.5
01/05/1990,8.5
02/05/1990,8.3125
03/05/1990,8.3125
04/05/1990,8.375
07/05/1990,8.3125
08/05/1990,8.3125
09/05/1990,8.25
10/05/1990,8.3125
11/05/1990,8.375
14/05/1990,8.3125
15/05/1990,8.3125
16/05/1990,8.3125
17/05/1990,8.3125
18/05/1990,8.3125
21/05/1990,8.25
22/05/1990,8.25
23/05/1990,8.25
24/05/1990,8.3125
25/05/1990,8.3125
28/05/1990,8.25
29/05/1990,8.25
30/05/1990,8.25
31/05/1990,8.25
